DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Mental Health,1,3100,231240,NYSDOT 1701 BROAD ST,9,2011,1,0.006060606
Other,4,3100,231240,NYSDOT 1701 BROAD ST,9,2011,23.75,0.143939394
Mental Health,1,3100,231249,NYSDOT 1701 BROAD ST ACTIVITIES,9,2011,2,0.012121212
Other,4,3100,231249,NYSDOT 1701 BROAD ST ACTIVITIES,9,2011,1,0.006060606
Mental Health,1,3100,231271,CNYDDSO 120 ELIZABETH ST,9,2011,3,0.018181818
Other,4,3100,231271,CNYDDSO 120 ELIZABETH ST,9,2011,60.25,0.365151515
Other,4,3100,231275,Elizabeth Street  S&W,9,2011,8,0.048484848
Mental Health,1,3100,231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,9,2011,2,0.012121212
Other,4,3100,231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,9,2011,4.5,0.027272727
Mental Health,1,3100,231531,CNYDDSO 9501 RIVER RD,9,2011,4,0.024242424
Other,4,3100,231531,CNYDDSO 9501 RIVER RD,9,2011,88.5,0.536363636
Mental Health,1,3100,231539,CNYDDSO 9501 RIVER RD ACTIVITIES,9,2011,2.066666667,0.012525253
Other,4,3100,231539,CNYDDSO 9501 RIVER RD ACTIVITIES,9,2011,4.5,0.027272727
Mental Health,1,3100,231541,MVPCMCPI 1213 COURT ST,9,2011,86,0.521212121
Mental Retardation,2,3100,231541,MVPCMCPI 1213 COURT ST,9,2011,257,1.557575758
Non Disabled,3,3100,231541,MVPCMCPI 1213 COURT ST,9,2011,12,0.072727273
Other,4,3100,231541,MVPCMCPI 1213 COURT ST,9,2011,80,0.484848485
Mental Health,1,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,9,2011,8,0.048484848
Mental Retardation,2,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,9,2011,10,0.060606061
Non Disabled,3,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,9,2011,20,0.121212121
Mental Retardation,2,3100,231571,ONEICOUN 120 BASE RD ,9,2011,45.5,0.275757576
Non Disabled,3,3100,231571,ONEICOUN 120 BASE RD ,9,2011,20.5,0.124242424
Other,4,3100,231571,ONEICOUN 120 BASE RD ,9,2011,11,0.066666667
Mental Retardation,2,3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,9,2011,3,0.018181818
Non Disabled,3,3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,9,2011,1,0.006060606
Non Disabled,3,3100,231581,ONEICOUN 121 SECOND ST,9,2011,41.75,0.253030303
Other,4,3100,231581,ONEICOUN 121 SECOND ST,9,2011,72.75,0.440909091
Non Disabled,3,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,9,2011,5,0.03030303
Other,4,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,9,2011,3.75,0.022727273
Non Disabled,3,3100,231591,ONEICOUN 6000 AIRPORT RD,9,2011,41.5,0.251515152
Other,4,3100,231591,ONEICOUN 6000 AIRPORT RD,9,2011,127,0.76969697
Non Disabled,3,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,9,2011,5,0.03030303
Other,4,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,9,2011,3.75,0.022727273
Non Disabled,3,3100,231621,OGS 6325 ROUTE 291,9,2011,6.25,0.037878788
Other,4,3100,231621,OGS 6325 ROUTE 291,9,2011,9.5,0.057575758
Mental Retardation,2,3100,231631,ONEICOUN 200 ELIZABETH ST,9,2011,295,1.787878788
Non Disabled,3,3100,231631,ONEICOUN 200 ELIZABETH ST,9,2011,131.25,0.795454545
Other,4,3100,231631,ONEICOUN 200 ELIZABETH ST,9,2011,125,0.757575758
Mental Retardation,2,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,9,2011,34,0.206060606
Non Disabled,3,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,9,2011,12.5,0.075757576
Other,4,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,9,2011,12.5,0.075757576
Non Disabled,3,3100,231641,ONEICOUN 185 GENESEE ST,9,2011,63.75,0.386363636
Non Disabled,3,3100,231649,ONEICOUN 185 GENESEE ST ACTIVITIES,9,2011,3.75,0.022727273
Mental Health,1,3100,231711,ONEICOUN 800 PARK AVE ,9,2011,294,1.781818182
Mental Retardation,2,3100,231711,ONEICOUN 800 PARK AVE ,9,2011,262.5,1.590909091
Non Disabled,3,3100,231711,ONEICOUN 800 PARK AVE ,9,2011,168.5,1.021212121
Other,4,3100,231711,ONEICOUN 800 PARK AVE ,9,2011,691.5,4.190909091
Mental Health,1,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,9,2011,60,0.363636364
Mental Retardation,2,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,9,2011,12.5,0.075757576
Non Disabled,3,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,9,2011,8,0.048484848
Other,4,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,9,2011,56.5,0.342424242
Mental Health,1,3100,231721,ONEICOUN 406 ELIZABETH ST,9,2011,104,0.63030303
Mental Health,1,3100,231729,ONEICOUN 406 ELIZABETH ST ACTIVITIES,9,2011,5,0.03030303
Mental Health,1,3100,231731,ONEICOUN 235 ELIZABETH ST,9,2011,145.5,0.881818182
Mental Health,1,3100,231739,ONEICOUN 235 ELIZABETH ST ACTIVITIES,9,2011,8.5,0.051515152
Mental Retardation,2,3100,231741,ONEICOUN 200 BASE RD,9,2011,20.5,0.124242424
Non Disabled,3,3100,231741,ONEICOUN 200 BASE RD,9,2011,9.5,0.057575758
Other,4,3100,231741,ONEICOUN 200 BASE RD,9,2011,1,0.006060606
Mental Retardation,2,3100,231749,ONEICOUN 200 BASE RD ACTIVITIES,9,2011,1.5,0.009090909
Non Disabled,3,3100,231749,ONEICOUN 200 BASE RD ACTIVITIES,9,2011,0.5,0.003030303
Mental Health,1,3100,231751,CDROTB 232 MOHAWK ST,9,2011,1,0.006060606
Other,4,3100,231751,CDROTB 232 MOHAWK ST,9,2011,32,0.193939394
Mental Health,1,3100,231759,CDROTB 232 MOHAWK ST ACTIVITIES,9,2011,1.5,0.009090909
Other,4,3100,231759,CDROTB 232 MOHAWK ST ACTIVITIES,9,2011,0.5,0.003030303
Mental Health,1,3100,231821,CITYUTICA 33 ORISKANY ST W,9,2011,157.5,0.954545455
Other,4,3100,231821,CITYUTICA 33 ORISKANY ST W,9,2011,126,0.763636364
Mental Health,1,3100,231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,9,2011,7.5,0.045454545
Other,4,3100,231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,9,2011,6,0.036363636
Mental Health,1,3100,231841,ONEICOUN 321 MAIN ST,9,2011,152,0.921212121
Mental Retardation,2,3100,231841,ONEICOUN 321 MAIN ST,9,2011,92,0.557575758
Non Disabled,3,3100,231841,ONEICOUN 321 MAIN ST,9,2011,129.5,0.784848485
Other,4,3100,231841,ONEICOUN 321 MAIN ST,9,2011,191.75,1.162121212
Mental Health,1,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,9,2011,8,0.048484848
Mental Retardation,2,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,9,2011,34.5,0.209090909
Non Disabled,3,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,9,2011,5.75,0.034848485
Other,4,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,9,2011,8,0.048484848
Mental Health,1,3100,231851,DIVMIL&NA 1700 PARKWAY E,9,2011,48,0.290909091
Other,4,3100,231851,DIVMIL&NA 1700 PARKWAY E,9,2011,21,0.127272727
Mental Health,1,3100,231859,DIVMIL&NA 1700 PARKWAY E ACTIVITIES,9,2011,18,0.109090909
Non Disabled,3,3100,233140,NYSFAIR 581 STATE FAIR BLVD RUBBISH,9,2011,9.85,0.05969697
Other,4,3100,233140,NYSFAIR 581 STATE FAIR BLVD RUBBISH,9,2011,8,0.048484848
Non Disabled,3,3100,233142,NYSFAIR 581 STATE FAIR BLVD REST ROOMS,9,2011,12,0.072727273
Other,4,3100,233142,NYSFAIR 581 STATE FAIR BLVD REST ROOMS,9,2011,42,0.254545455
Mental Retardation,2,3100,331050,MARSDEN 8379 SENECA TRN PK,9,2011,53,0.321212121
Non Disabled,3,3100,331050,MARSDEN 8379 SENECA TRN PK,9,2011,25.5,0.154545455
Other,4,3100,331050,MARSDEN 8379 SENECA TRN PK,9,2011,5.5,0.033333333
Mental Retardation,2,3100,331059,MARSDEN 8379 SENECA TRN PK ACTIVITIES,9,2011,3.75,0.022727273
Non Disabled,3,3100,331059,MARSDEN 8379 SENECA TRN PK ACTIVITIES,9,2011,1.25,0.007575758
Non Disabled,3,3100,331060,GILROYKG 5 ELLINWOOD CT,9,2011,23.5,0.142424242
Other,4,3100,331060,GILROYKG 5 ELLINWOOD CT,9,2011,32,0.193939394
Non Disabled,3,3100,331069,GILROYKG 5 ELLINWOOD CT ACTIVITIES,9,2011,3.5,0.021212121
Other,4,3100,331069,GILROYKG 5 ELLINWOOD CT ACTIVITIES,9,2011,3,0.018181818
Mental Health,1,3100,331080,HUMMELS 25 CANAL ST,9,2011,1,0.006060606
Other,4,3100,331080,HUMMELS 25 CANAL ST,9,2011,19.25,0.116666667
Mental Health,1,3100,331089,HUMMELS 25 CANAL ST ACTIVITIES,9,2011,1.25,0.007575758
Other,4,3100,331089,HUMMELS 25 CANAL ST ACTIVITIES,9,2011,0.75,0.004545455
Mental Retardation,2,3100,331110,NATCTMIS 930 YORK ST,9,2011,7.5,0.045454545
Non Disabled,3,3100,331110,NATCTMIS 930 YORK ST,9,2011,4.5,0.027272727
Mental Retardation,2,3100,331119,NATCTMIS 930 YORK ST ACTIVITIES,9,2011,1,0.006060606
Other,4,3100,331150,CDROTB 731 BLEECKER ST,9,2011,12,0.072727273
Other,4,3100,331160,CDROTB 16 MAIN ST,9,2011,16,0.096969697
Other,4,3100,331170,CDROTB 1899 GENESEE ST,9,2011,30,0.181818182
Mental Retardation,2,3100,331180,M & T Bank,9,2011,60,0.363636364
Non Disabled,3,3100,331180,M & T Bank,9,2011,142.25,0.862121212
Other,4,3100,331180,M & T Bank,9,2011,228.75,1.386363636
Mental Retardation,2,3100,331189,M&T Bank - Activities,9,2011,6,0.036363636
Non Disabled,3,3100,331189,M&T Bank - Activities,9,2011,20.85,0.126363636
Other,4,3100,331189,M&T Bank - Activities,9,2011,38.25,0.231818182
Mental Retardation,2,3100,331190,RESCMISS 212 RUTGER ST,9,2011,66.25,0.401515152
Non Disabled,3,3100,331190,RESCMISS 212 RUTGER ST,9,2011,31.75,0.192424242
Other,4,3100,331190,RESCMISS 212 RUTGER ST,9,2011,12,0.072727273
Mental Retardation,2,3100,331199,RESCMISS 212 RUTGER ST ACTIVITIES,9,2011,6,0.036363636
Non Disabled,3,3100,331199,RESCMISS 212 RUTGER ST ACTIVITIES,9,2011,1.5,0.009090909
Mental Health,1,3100,331200,SLOCUM 1729 BURRSTONE RD,9,2011,268,1.624242424
Non Disabled,3,3100,331200,SLOCUM 1729 BURRSTONE RD,9,2011,279,1.690909091
Other,4,3100,331200,SLOCUM 1729 BURRSTONE RD,9,2011,427.5,2.590909091
Mental Health,1,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,9,2011,16.91666667,0.102525253
Non Disabled,3,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,9,2011,32,0.193939394
Other,4,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,9,2011,20,0.121212121
Non Disabled,3,3100,331230,UCPHAT 9440 BUTLER RD,9,2011,48.25,0.292424242
Other,4,3100,331230,UCPHAT 9440 BUTLER RD,9,2011,71,0.43030303
Non Disabled,3,3100,331239,UCPHAT 9440 BUTLER RD ACTIVITIES,9,2011,6,0.036363636
Other,4,3100,331239,UCPHAT 9440 BUTLER RD ACTIVITIES,9,2011,6,0.036363636
Mental Health,1,3100,331300,Cornel Associates LLC @ 258 Genesee St.,9,2011,160,0.96969697
Non Disabled,3,3100,331300,Cornel Associates LLC @ 258 Genesee St.,9,2011,90.5,0.548484848
Mental Health,1,3100,331309,Cornel Associates LLC @ 258 Genesee St. Activities,9,2011,18.5,0.112121212
Non Disabled,3,3100,331309,Cornel Associates LLC @ 258 Genesee St. Activities,9,2011,4,0.024242424
Mental Health,1,3100,331310,SLOCUM 55 CENTRAL PLAZA ,9,2011,3,0.018181818
Other,4,3100,331310,SLOCUM 55 CENTRAL PLAZA ,9,2011,73.5,0.445454545
Mental Health,1,3100,331319,SLOCUM 55 CENTRAL PLAZA ACTIVITIES,9,2011,0.75,0.004545455
Other,4,3100,331319,SLOCUM 55 CENTRAL PLAZA ACTIVITIES,9,2011,3.75,0.022727273
Other,4,3100,331350,Our Savior Lutheran Church,9,2011,33,0.2
Other,4,3100,331380,Mele & Co.,9,2011,56,0.339393939
Non Disabled,3,3100,331400,FAXSTLUK 7980 RT 12,9,2011,134.5,0.815151515
Non Disabled,3,3100,331409,FAXSTLUK 7980 RT 12 ACTIVITIES,9,2011,6,0.036363636
Non Disabled,3,3100,331410,FAXSTLUK 13460 STATE RT 12,9,2011,39,0.236363636
Non Disabled,3,3100,331419,FAXSTLUK 13460 STATE RT 12 ACTIVITIES,9,2011,3,0.018181818
Non Disabled,3,3100,331420,FAXSTLUK 4301 MIDDLE SET,9,2011,17,0.103030303
Other,4,3100,331420,FAXSTLUK 4301 MIDDLE SET,9,2011,25,0.151515152
Non Disabled,3,3100,331429,FAXSTLUK 4301 MIDDLE SET ACTIVITIES,9,2011,2,0.012121212
Other,4,3100,331429,FAXSTLUK 4301 MIDDLE SET ACTIVITIES,9,2011,1.5,0.009090909
Mental Health,1,3100,331430,FAXSTLUK 35 RIVERSIDE DR,9,2011,40,0.242424242
Non Disabled,3,3100,331430,FAXSTLUK 35 RIVERSIDE DR,9,2011,38,0.23030303
Other,4,3100,331430,FAXSTLUK 35 RIVERSIDE DR,9,2011,1,0.006060606
Non Disabled,3,3100,331439,FAXSTLUK 35 RIVERSIDE DR ACTIVITIES,9,2011,6,0.036363636
Non Disabled,3,3100,331440,FAXSTLUK 3946 ONEIDA ST,9,2011,61.75,0.374242424
Other,4,3100,331440,FAXSTLUK 3946 ONEIDA ST,9,2011,1.75,0.010606061
Non Disabled,3,3100,331449,FAXSTLUK 3946 ONEIDA ST ACTIVITIES,9,2011,9.5,0.057575758
Non Disabled,3,3100,331450,FAXSTLUK 358 MADISON AVE,9,2011,54.75,0.331818182
Non Disabled,3,3100,331459,FAXSTLUK 358 MADISON AVE ACTIVITIES,9,2011,2.25,0.013636364
Mental Health,1,3100,331460,FAXSTLUK 37 MAIN ST,9,2011,32,0.193939394
Non Disabled,3,3100,331460,FAXSTLUK 37 MAIN ST,9,2011,52.25,0.316666667
Non Disabled,3,3100,331469,FAXSTLUK 37 MAIN ST ACTIVITIES,9,2011,5.5,0.033333333
Mental Retardation,2,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,9,2011,30,0.181818182
Non Disabled,3,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,9,2011,14.25,0.086363636
Other,4,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,9,2011,1.5,0.009090909
Mental Retardation,2,3100,331489,SLOCUM 1307 CHAMPLIN AVE ACTIVITIES,9,2011,4,0.024242424
Non Disabled,3,3100,331489,SLOCUM 1307 CHAMPLIN AVE ACTIVITIES,9,2011,0.75,0.004545455
Non Disabled,3,3100,331490,GILROYKG 210 CLINTON RD,9,2011,25.5,0.154545455
Other,4,3100,331490,GILROYKG 210 CLINTON RD,9,2011,37.5,0.227272727
Non Disabled,3,3100,331499,GILROYKG 210 CLINTON RD ACTIVITIES,9,2011,3,0.018181818
Other,4,3100,331499,GILROYKG 210 CLINTON RD ACTIVITIES,9,2011,2.25,0.013636364
Mental Retardation,2,3100,331500,HTC 2260 DWYER AVE,9,2011,34,0.206060606
Non Disabled,3,3100,331500,HTC 2260 DWYER AVE,9,2011,19,0.115151515
Other,4,3100,331500,HTC 2260 DWYER AVE,9,2011,231.5,1.403030303
Mental Health,1,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,9,2011,8,0.048484848
Mental Retardation,2,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,9,2011,10,0.060606061
Non Disabled,3,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,9,2011,1,0.006060606
Other,4,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,9,2011,15.5,0.093939394
Non Disabled,3,3100,331510,HTC 1500 GENESEE ST,9,2011,32.25,0.195454545
Other,4,3100,331510,HTC 1500 GENESEE ST,9,2011,48.5,0.293939394
Non Disabled,3,3100,331519,HTC 1500 GENESEE ST ACTIVITIES,9,2011,4,0.024242424
Other,4,3100,331519,HTC 1500 GENESEE ST ACTIVITIES,9,2011,3,0.018181818
Mental Retardation,2,3100,331540,M&TBANK 38 COLLEGE ST,9,2011,6,0.036363636
Non Disabled,3,3100,331540,M&TBANK 38 COLLEGE ST,9,2011,2.75,0.016666667
Other,4,3100,331540,M&TBANK 38 COLLEGE ST,9,2011,0.25,0.001515152
Mental Retardation,2,3100,331549,M&TBANK 38 COLLEGE ST ACTIVITIES,9,2011,0.5,0.003030303
Non Disabled,3,3100,331549,M&TBANK 38 COLLEGE ST ACTIVITIES,9,2011,0.25,0.001515152
Mental Health,1,3100,331550,M&T BANK 134 E MAIN ST,9,2011,2,0.012121212
Other,4,3100,331550,M&T BANK 134 E MAIN ST,9,2011,45,0.272727273
Mental Health,1,3100,331559,M&T BANK 134 E MAIN ST ACTIVITIES,9,2011,0.75,0.004545455
Other,4,3100,331559,M&T BANK 134 E MAIN ST ACTIVITIES,9,2011,6,0.036363636
Mental Health,1,3100,331560,M&T BANK 319 N MAIN ST,9,2011,2,0.012121212
Other,4,3100,331560,M&T BANK 319 N MAIN ST,9,2011,41.25,0.25
Mental Health,1,3100,331569,M&T BANK 319 N MAIN ST ACTIVITIES,9,2011,0.75,0.004545455
Other,4,3100,331569,M&T BANK 319 N MAIN ST ACTIVITIES,9,2011,2.25,0.013636364
Mental Health,1,3100,331570,M&T BANK 150 CENTRAL AVE,9,2011,1.5,0.009090909
Other,4,3100,331570,M&T BANK 150 CENTRAL AVE,9,2011,42.75,0.259090909
Other,4,3100,331579,M&T BANK 150 CENTRAL AVE ACTIVITIES,9,2011,2.25,0.013636364
Non Disabled,3,3100,331590,M&TBANK 4767 CONSUMER SQ,9,2011,20.75,0.125757576
Other,4,3100,331590,M&TBANK 4767 CONSUMER SQ,9,2011,25,0.151515152
Non Disabled,3,3100,331599,M&TBANK 4767 CONSUMER SQ ACTIVITIES,9,2011,2.25,0.013636364
Other,4,3100,331599,M&TBANK 4767 CONSUMER SQ ACTIVITIES,9,2011,1.5,0.009090909
Mental Retardation,2,3200,132111,EADS Janitor,9,2011,114,0.690909091
Other,4,3200,132111,EADS Janitor,9,2011,12,0.072727273
Mental Retardation,2,3200,132119,EADS - Activities,9,2011,36,0.218181818
Other,4,3200,132119,EADS - Activities,9,2011,2,0.012121212
Mental Health,1,3200,132121,Rome Labs Janitor,9,2011,404,2.448484848
Mental Retardation,2,3200,132121,Rome Labs Janitor,9,2011,252,1.527272727
Other,4,3200,132121,Rome Labs Janitor,9,2011,452,2.739393939
Mental Health,1,3200,132126,Rome Labs S&W Labs Rate,9,2011,44,0.266666667
Mental Health,1,3200,132129,Rome Labs - Activities,9,2011,86,0.521212121
Mental Retardation,2,3200,132129,Rome Labs - Activities,9,2011,12,0.072727273
Other,4,3200,132129,Rome Labs - Activities,9,2011,49,0.296969697
Mental Health,1,3200,232041,CNYDDSO 101 W LIBERTY ST,9,2011,84,0.509090909
Non Disabled,3,3200,232041,CNYDDSO 101 W LIBERTY ST,9,2011,76,0.460606061
Mental Health,1,3200,232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,9,2011,4,0.024242424
Non Disabled,3,3200,232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,9,2011,12,0.072727273
Mental Health,1,3200,232076,Bridge Street S&W Labs Rate,9,2011,6,0.036363636
Mental Health,1,3200,232081,Bridge Street Day Hab,9,2011,61.5,0.372727273
Mental Health,1,3200,232089,Bridge Street Day Hab - Activities,9,2011,4.5,0.027272727
Mental Health,1,3200,232120,Delta Acres,9,2011,26.25,0.159090909
Non Disabled,3,3200,232120,Delta Acres,9,2011,26.25,0.159090909
Other,4,3200,232120,Delta Acres,9,2011,25,0.151515152
Mental Health,1,3200,232126,Delta Acres S&W Labs Rate,9,2011,8,0.048484848
Mental Health,1,3200,232129,Delta Acres Activities,9,2011,1.25,0.007575758
Non Disabled,3,3200,232129,Delta Acres Activities,9,2011,1.25,0.007575758
Other,4,3200,232129,Delta Acres Activities,9,2011,1.75,0.010606061
Mental Health,1,3200,232140,ONEICOUN 592 HANGAR RD,9,2011,32,0.193939394
Mental Health,1,3200,232149,ONEICOUN 592 HANGAR RD ACTIVITIES,9,2011,4,0.024242424
Other,4,3200,232150,ONEICOUN 592 HANGAR RD,9,2011,80,0.484848485
Other,4,3200,232159,ONEICOUN 592 HANGAR RD ACTIVITIES,9,2011,12,0.072727273
Mental Health,1,3200,232222,CNYDDSO 8163 GORE RD,9,2011,38.5,0.233333333
Mental Health,1,3200,232229,CNYDDSO 8163 GORE RD ACTIVITIES,9,2011,6,0.036363636
Mental Health,1,3200,232561,ONEICOUN 301 W DOMINICK ST,9,2011,47.25,0.286363636
Non Disabled,3,3200,232561,ONEICOUN 301 W DOMINICK ST,9,2011,47.25,0.286363636
Other,4,3200,232561,ONEICOUN 301 W DOMINICK ST,9,2011,45,0.272727273
Mental Health,1,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,9,2011,2.25,0.013636364
Non Disabled,3,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,9,2011,2.25,0.013636364
Other,4,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,9,2011,2.25,0.013636364
Mental Health,1,3200,232571,ONEICOUN 300 W DOMINICK ST,9,2011,71.25,0.431818182
Non Disabled,3,3200,232571,ONEICOUN 300 W DOMINICK ST,9,2011,47.25,0.286363636
Other,4,3200,232571,ONEICOUN 300 W DOMINICK ST,9,2011,45,0.272727273
Mental Health,1,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,9,2011,2.25,0.013636364
Non Disabled,3,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,9,2011,2.25,0.013636364
Other,4,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,9,2011,4.5,0.027272727
Mental Health,1,3200,232611,OGS 6196 LAMPHEAR RD,9,2011,4.5,0.027272727
Mental Health,1,3200,232671,O'Shea Janitor F/T,9,2011,80,0.484848485
