DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Non Disabled,3,3100,331060,GILROYKG 5 ELLINWOOD CT,10,2011,36.25,0.21969697
Other,4,3100,331060,GILROYKG 5 ELLINWOOD CT,10,2011,40,0.242424242
Non Disabled,3,3100,331069,GILROYKG 5 ELLINWOOD CT ACTIVITIES,10,2011,3.5,0.021212121
Other,4,3100,331069,GILROYKG 5 ELLINWOOD CT ACTIVITIES,10,2011,3,0.018181818
Other,4,3100,331080,HUMMELS 25 CANAL ST,10,2011,20.5,0.124242424
Other,4,3100,331089,HUMMELS 25 CANAL ST ACTIVITIES,10,2011,3,0.018181818
Mental Retardation,2,3100,331110,NATCTMIS 930 YORK ST,10,2011,8,0.048484848
Non Disabled,3,3100,331110,NATCTMIS 930 YORK ST,10,2011,4,0.024242424
Other,4,3100,331160,CDROTB 16 MAIN ST,10,2011,31,0.187878788
Other,4,3100,331170,CDROTB 1899 GENESEE ST,10,2011,31,0.187878788
Mental Health,1,3100,331180,M & T Bank,10,2011,4,0.024242424
Mental Retardation,2,3100,331180,M & T Bank,10,2011,37.5,0.227272727
Non Disabled,3,3100,331180,M & T Bank,10,2011,115.25,0.698484848
Other,4,3100,331180,M & T Bank,10,2011,178.75,1.083333333
Mental Retardation,2,3100,331189,M&T Bank - Activities,10,2011,7.5,0.045454545
Non Disabled,3,3100,331189,M&T Bank - Activities,10,2011,9.5,0.057575758
Other,4,3100,331189,M&T Bank - Activities,10,2011,34.75,0.210606061
Mental Retardation,2,3100,331190,RESCMISS 212 RUTGER ST,10,2011,69,0.418181818
Non Disabled,3,3100,331190,RESCMISS 212 RUTGER ST,10,2011,36,0.218181818
Other,4,3100,331190,RESCMISS 212 RUTGER ST,10,2011,7.5,0.045454545
Mental Retardation,2,3100,331199,RESCMISS 212 RUTGER ST ACTIVITIES,10,2011,4.5,0.027272727
Non Disabled,3,3100,331199,RESCMISS 212 RUTGER ST ACTIVITIES,10,2011,1.5,0.009090909
Mental Health,1,3100,331200,SLOCUM 1729 BURRSTONE RD,10,2011,237.5,1.439393939
Non Disabled,3,3100,331200,SLOCUM 1729 BURRSTONE RD,10,2011,351.5,2.13030303
Other,4,3100,331200,SLOCUM 1729 BURRSTONE RD,10,2011,414.5,2.512121212
Mental Health,1,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,10,2011,16,0.096969697
Non Disabled,3,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,10,2011,21,0.127272727
Other,4,3100,331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,10,2011,30,0.181818182
Non Disabled,3,3100,331230,UCPHAT 9440 BUTLER RD,10,2011,56.5,0.342424242
Other,4,3100,331230,UCPHAT 9440 BUTLER RD,10,2011,61.5,0.372727273
Non Disabled,3,3100,331239,UCPHAT 9440 BUTLER RD ACTIVITIES,10,2011,7.5,0.045454545
Other,4,3100,331239,UCPHAT 9440 BUTLER RD ACTIVITIES,10,2011,6,0.036363636
Mental Health,1,3100,331300,CORNEL 258 GENESEE ST,10,2011,88,0.533333333
Non Disabled,3,3100,331300,CORNEL 258 GENESEE ST,10,2011,44,0.266666667
Mental Health,1,3100,331300,Cornel Associates LLC @ 258 Genesee St.,10,2011,76,0.460606061
Non Disabled,3,3100,331300,Cornel Associates LLC @ 258 Genesee St.,10,2011,43,0.260606061
Mental Health,1,3100,331309,CORNEL 258 GENESEE ST ACTIVITIES,10,2011,20,0.121212121
Mental Health,1,3100,331309,Cornel Associates LLC @ 258 Genesee St. Activities,10,2011,8,0.048484848
Non Disabled,3,3100,331309,Cornel Associates LLC @ 258 Genesee St. Activities,10,2011,4,0.024242424
Other,4,3100,331310,SLOCUM 55 CENTRAL PLAZA ,10,2011,76.75,0.465151515
Other,4,3100,331319,SLOCUM 55 CENTRAL PLAZA ACTIVITIES,10,2011,6.25,0.037878788
Other,4,3100,331350,Our Savior Lutheran Church,10,2011,22,0.133333333
Other,4,3100,331380,Mele & Co.,10,2011,52,0.315151515
Other,4,3100,331389,Mele & Co. - Activities,10,2011,4,0.024242424
Mental Health,1,3100,331400,FAXSTLUK 7980  STATE RT 12,10,2011,1,0.006060606
Non Disabled,3,3100,331400,FAXSTLUK 7980  STATE RT 12,10,2011,66,0.4
Non Disabled,3,3100,331400,FAXSTLUK 7980 RT 12,10,2011,48,0.290909091
Non Disabled,3,3100,331409,FAXSTLUK 7980 RT 12 ACTIVITIES,10,2011,18,0.109090909
Mental Health,1,3100,331410,FAXSTLUK 13460 STATE RT 12,10,2011,1,0.006060606
Non Disabled,3,3100,331410,FAXSTLUK 13460 STATE RT 12,10,2011,53.5,0.324242424
Non Disabled,3,3100,331419,FAXSTLUK 13460 STATE RT 12 ACTIVITIES,10,2011,8,0.048484848
Mental Health,1,3100,331420,FAXSTLUK 4301 MIDDLE SET,10,2011,1,0.006060606
Non Disabled,3,3100,331420,FAXSTLUK 4301 MIDDLE SET,10,2011,24.75,0.15
Other,4,3100,331420,FAXSTLUK 4301 MIDDLE SET,10,2011,26.75,0.162121212
Non Disabled,3,3100,331429,FAXSTLUK 4301 MIDDLE SET ACTIVITIES,10,2011,3,0.018181818
Other,4,3100,331429,FAXSTLUK 4301 MIDDLE SET ACTIVITIES,10,2011,2,0.012121212
Mental Health,1,3100,331430,FAXSTLUK 35 RIVERSIDE DR,10,2011,73.25,0.443939394
Non Disabled,3,3100,331430,FAXSTLUK 35 RIVERSIDE DR,10,2011,36,0.218181818
Non Disabled,3,3100,331439,FAXSTLUK 35 RIVERSIDE DR ACTIVITIES,10,2011,2,0.012121212
Mental Health,1,3100,331440,FAXSTLUK 3946 ONEIDA ST,10,2011,1.25,0.007575758
Non Disabled,3,3100,331440,FAXSTLUK 3946 ONEIDA ST,10,2011,58,0.351515152
Non Disabled,3,3100,331449,FAXSTLUK 3946 ONEIDA ST ACTIVITIES,10,2011,6.5,0.039393939
Mental Health,1,3100,331450,FAXSTLUK 358 MADISON AVE,10,2011,1.25,0.007575758
Non Disabled,3,3100,331450,FAXSTLUK 358 MADISON AVE,10,2011,84.75,0.513636364
Non Disabled,3,3100,331459,FAXSTLUK 358 MADISON AVE ACTIVITIES,10,2011,2.25,0.013636364
Mental Health,1,3100,331460,FAXSTLUK 37 MAIN ST,10,2011,84.25,0.510606061
Non Disabled,3,3100,331460,FAXSTLUK 37 MAIN ST,10,2011,46.75,0.283333333
Non Disabled,3,3100,331469,FAXSTLUK 37 MAIN ST ACTIVITIES,10,2011,5.5,0.033333333
Mental Retardation,2,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,10,2011,30,0.181818182
Non Disabled,3,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,10,2011,15,0.090909091
Other,4,3100,331480,SLOCUM 1307 CHAMPLIN AVE ,10,2011,0.75,0.004545455
Mental Retardation,2,3100,331489,SLOCUM 1307 CHAMPLIN AVE ACTIVITIES,10,2011,2.25,0.013636364
Non Disabled,3,3100,331489,SLOCUM 1307 CHAMPLIN AVE ACTIVITIES,10,2011,0.75,0.004545455
Non Disabled,3,3100,331490,GILROYKG 210 CLINTON RD,10,2011,28.75,0.174242424
Other,4,3100,331490,GILROYKG 210 CLINTON RD,10,2011,32.25,0.195454545
Non Disabled,3,3100,331499,GILROYKG 210 CLINTON RD ACTIVITIES,10,2011,4,0.024242424
Other,4,3100,331499,GILROYKG 210 CLINTON RD ACTIVITIES,10,2011,3,0.018181818
Mental Health,1,3100,331500,HTC 2260 DWYER AVE,10,2011,14,0.084848485
Mental Retardation,2,3100,331500,HTC 2260 DWYER AVE,10,2011,31,0.187878788
Non Disabled,3,3100,331500,HTC 2260 DWYER AVE,10,2011,17,0.103030303
Other,4,3100,331500,HTC 2260 DWYER AVE,10,2011,151,0.915151515
Mental Health,1,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,10,2011,69.35,0.42030303
Mental Retardation,2,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,10,2011,1,0.006060606
Other,4,3100,331509,HTC 2260 DWYER AVE ACTIVITIES,10,2011,7.5,0.045454545
Non Disabled,3,3100,331510,HTC 1500 GENESEE ST,10,2011,36.75,0.222727273
Other,4,3100,331510,HTC 1500 GENESEE ST,10,2011,38.75,0.234848485
Non Disabled,3,3100,331519,HTC 1500 GENESEE ST ACTIVITIES,10,2011,5,0.03030303
Other,4,3100,331519,HTC 1500 GENESEE ST ACTIVITIES,10,2011,4,0.024242424
Mental Retardation,2,3100,331540,M&TBANK 38 COLLEGE ST,10,2011,5.75,0.034848485
Non Disabled,3,3100,331540,M&TBANK 38 COLLEGE ST,10,2011,2.75,0.016666667
Mental Retardation,2,3100,331549,M&TBANK 38 COLLEGE ST ACTIVITIES,10,2011,1,0.006060606
Non Disabled,3,3100,331549,M&TBANK 38 COLLEGE ST ACTIVITIES,10,2011,0.25,0.001515152
Other,4,3100,331550,M&T BANK 134 E MAIN ST,10,2011,45.25,0.274242424
Other,4,3100,331559,M&T BANK 134 E MAIN ST ACTIVITIES,10,2011,3.75,0.022727273
Other,4,3100,331560,M&T BANK 319 N MAIN ST,10,2011,45.25,0.274242424
Other,4,3100,331569,M&T BANK 319 N MAIN ST ACTIVITIES,10,2011,3.75,0.022727273
Other,4,3100,331570,M&T BANK 150 CENTRAL AVE,10,2011,43.5,0.263636364
Other,4,3100,331579,M&T BANK 150 CENTRAL AVE ACTIVITIES,10,2011,3.75,0.022727273
Mental Health,1,3100,331580,M&TBANK WINDOWS VARIOUS SITES,10,2011,8,0.048484848
Other,4,3100,331580,M&TBANK WINDOWS VARIOUS SITES,10,2011,8,0.048484848
Non Disabled,3,3100,331590,M&TBANK 4767 CONSUMER SQ,10,2011,23.25,0.140909091
Other,4,3100,331590,M&TBANK 4767 CONSUMER SQ,10,2011,20.5,0.124242424
Non Disabled,3,3100,331599,M&TBANK 4767 CONSUMER SQ ACTIVITIES,10,2011,2.5,0.015151515
Other,4,3100,331599,M&TBANK 4767 CONSUMER SQ ACTIVITIES,10,2011,2,0.012121212
Mental Retardation,2,3100,331600,M&TBANK 231-233 GENESEE ST,10,2011,16.5,0.1
Non Disabled,3,3100,331600,M&TBANK 231-233 GENESEE ST,10,2011,1.5,0.009090909
Other,4,3100,331600,M&TBANK 231-233 GENESEE ST,10,2011,9,0.054545455
Mental Retardation,2,3100,331609,M&TBANK 231-233 GENESEE ST ACTIVITIES,10,2011,1.5,0.009090909
Non Disabled,3,3100,331609,M&TBANK 231-233 GENESEE ST ACTIVITIES,10,2011,6.25,0.037878788
Mental Retardation,2,3200,132111,EADS 366 OTIS ST,10,2011,136,0.824242424
Other,4,3200,132111,EADS 366 OTIS ST,10,2011,14,0.084848485
Mental Retardation,2,3200,132111,EADS Janitor,10,2011,0,0
Other,4,3200,132111,EADS Janitor,10,2011,0,0
Mental Retardation,2,3200,132119,EADS 366 OTIS ST ACTIVITIES,10,2011,6,0.036363636
Other,4,3200,132119,EADS 366 OTIS ST ACTIVITIES,10,2011,2,0.012121212
Mental Health,1,3200,132121,AFRLRIKO 525 BROOKS RD,10,2011,631,3.824242424
Mental Retardation,2,3200,132121,AFRLRIKO 525 BROOKS RD,10,2011,234,1.418181818
Other,4,3200,132121,AFRLRIKO 525 BROOKS RD,10,2011,320.5,1.942424242
Mental Health,1,3200,132129,AFRLRIKO 525 BROOKS RD ACTIVITIES,10,2011,52,0.315151515
Mental Retardation,2,3200,132129,AFRLRIKO 525 BROOKS RD ACTIVITIES,10,2011,18,0.109090909
Other,4,3200,132129,AFRLRIKO 525 BROOKS RD ACTIVITIES,10,2011,22.5,0.136363636
Mental Health,1,3200,232041,CNYDDSO 101 W LIBERTY ST,10,2011,72,0.436363636
Non Disabled,3,3200,232041,CNYDDSO 101 W LIBERTY ST,10,2011,85,0.515151515
Mental Health,1,3200,232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,10,2011,12,0.072727273
Non Disabled,3,3200,232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,10,2011,4,0.024242424
Other,4,3200,232060,CITYROME 198 N WASHINGTON ST,10,2011,15.5,0.093939394
Mental Health,1,3200,232076,Bridge Street S&W Labs Rate,10,2011,40,0.242424242
Mental Health,1,3200,232081,Bridge Street Day Hab,10,2011,42.5,0.257575758
Other,4,3200,232081,Bridge Street Day Hab,10,2011,5,0.03030303
Mental Health,1,3200,232089,Bridge Street Day Hab - Activities,10,2011,11,0.066666667
Mental Health,1,3200,232120,Delta Acres,10,2011,25,0.151515152
Non Disabled,3,3200,232120,Delta Acres,10,2011,23.75,0.143939394
Other,4,3200,232120,Delta Acres,10,2011,23.75,0.143939394
Mental Health,1,3200,232129,Delta Acres Activities,10,2011,2.5,0.015151515
Non Disabled,3,3200,232129,Delta Acres Activities,10,2011,2.5,0.015151515
Other,4,3200,232129,Delta Acres Activities,10,2011,2.5,0.015151515
Mental Health,1,3200,232140,ONEICOUN 592 HANGAR RD,10,2011,40,0.242424242
Other,4,3200,232150,ONEICOUN 592 HANGAR RD,10,2011,76,0.460606061
Other,4,3200,232159,ONEICOUN 592 HANGAR RD ACTIVITIES,10,2011,12,0.072727273
Mental Health,1,3200,232222,CNYDDSO 8163 GORE RD,10,2011,40,0.242424242
Mental Health,1,3200,232229,CNYDDSO 8163 GORE RD ACTIVITIES,10,2011,2,0.012121212
Mental Health,1,3200,232561,ONEICOUN 301 W DOMINICK ST,10,2011,45,0.272727273
Non Disabled,3,3200,232561,ONEICOUN 301 W DOMINICK ST,10,2011,42.75,0.259090909
Other,4,3200,232561,ONEICOUN 301 W DOMINICK ST,10,2011,38.75,0.234848485
Mental Health,1,3200,232566,ONEICOUN 301 W DOMINICK ST,10,2011,16,0.096969697
Mental Health,1,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Non Disabled,3,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Other,4,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Mental Health,1,3200,232571,ONEICOUN 300 W DOMINICK ST,10,2011,56,0.339393939
Non Disabled,3,3200,232571,ONEICOUN 300 W DOMINICK ST,10,2011,42.75,0.259090909
Other,4,3200,232571,ONEICOUN 300 W DOMINICK ST,10,2011,42.75,0.259090909
Mental Health,1,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Non Disabled,3,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Other,4,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,10,2011,4.5,0.027272727
Mental Health,1,3200,232611,OGS 6196 LAMPHEAR RD,10,2011,3.5,0.021212121
Other,4,3200,232611,OGS 6196 LAMPHEAR RD,10,2011,0.5,0.003030303
Mental Health,1,3200,232619,OGS 6196 LAMPHEAR RD ACTIVITIES,10,2011,0.5,0.003030303
Mental Health,1,3200,232671,O'Shea Janitor F/T,10,2011,67,0.406060606
Mental Health,1,3200,232679,O'Shea - Activities,10,2011,6,0.036363636
Mental Health,1,3200,232721,ONEICOUN 302 N JAMES ST,10,2011,49.25,0.298484848
Non Disabled,3,3200,232721,ONEICOUN 302 N JAMES ST,10,2011,38,0.23030303
Mental Health,1,3200,232729,ONEICOUN 302 N JAMES ST ACTIVITIES,10,2011,4,0.024242424
Non Disabled,3,3200,232729,ONEICOUN 302 N JAMES ST ACTIVITIES,10,2011,4,0.024242424
Mental Health,1,3200,232871,CNYDDSO 801 CYPRESS ST,10,2011,88,0.533333333
Other,4,3200,232871,CNYDDSO 801 CYPRESS ST,10,2011,55,0.333333333
Mental Health,1,3200,232871,Walsh Janitor F/T,10,2011,72,0.436363636
Other,4,3200,232871,Walsh Janitor F/T,10,2011,45,0.272727273
Mental Health,1,3200,232872,CNYDDSO 801 CYPRESS ST P/T,10,2011,55,0.333333333
