ReturnNo,OrderNo,ReturnDate,ReturnClosed,OrderDate,ReturnCode,ProductName,PartNumber,Amount, UnitPrice ,ReturnedTotal
8799,45814,2012-12-27,2013-01-08,2012-12-10,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,1, 41.06 ,41.06
8799,45814,2012-12-27,2013-01-08,2012-12-10,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,1, 35.80 ,35.80
8800,46319,2012-12-27,2013-01-03,2012-12-14,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8801,45828,2012-12-27,2013-02-08,2012-12-10,30A,Men's Cotton Short Sleeve Field Shirt,FS212,2, 31.25 ,62.50
8802,45492,2012-12-27,2013-01-03,2012-12-05,30A,Unisex Gaiters,FS369,1, 65.60 ,65.60
8802,45492,2012-12-27,2013-01-03,2012-12-05,30A,Zip-off Pant Green Nylon,FS260,1, 98.48 ,98.48
8802,45492,2012-12-27,2013-01-03,2012-12-05,30A,Unisex Rain/Wind Pants,FS392,1, 176.18 ,176.18
8803,45599,2012-12-27,2013-01-10,2012-12-06,30A,Men's Cotton Long Sleeve Field Shirt,FS214,1, 32.40 ,32.40
8803,45599,2012-12-27,2013-01-10,2012-12-06,30A,Men's Cotton Short Sleeve Field Shirt,FS212,3, 31.25 ,93.75
8805,45422,2012-12-27,2013-01-02,2012-12-04,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7161S,1, 39.56 ,39.56
8809,45905,2012-12-28,2013-01-07,2012-12-10,30A,Men's Wool Pants,FS400,1, 112.63 ,112.63
8809,45905,2012-12-28,2013-01-07,2012-12-10,30A,Unisex Wool Cruiser Coat,FS320,1, 161.98 ,161.98
8809,45905,2012-12-28,2013-01-07,2012-12-10,30A,Cardigan Sweater Unisex,FS225,1, 51.12 ,51.12
8810,46047,2012-12-28,2013-01-14,2012-12-12,32A,Small Dress Belt Buckle,FS012,1, 30.77 ,30.77
8810,46047,2012-12-28,2013-01-14,2012-12-12,30A,Dress Belt Wide,FS700,1, 19.75 ,19.75
8810,46047,2012-12-28,2013-01-14,2012-12-12,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,1, 41.06 ,41.06
8810,46047,2012-12-28,2013-01-14,2012-12-12,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,3, 35.80 ,107.40
8810,46047,2012-12-28,2013-01-14,2012-12-12,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,1, 29.64 ,29.64
8811,45904,2012-12-28,2013-01-18,2012-12-10,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8813,45481,2012-12-28,2013-01-11,2012-12-05,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,2, 41.06 ,82.12
8813,45481,2012-12-28,2013-01-11,2012-12-05,34A,Unisex Crew Socks,FS050,2, 9.36 ,18.72
8813,45481,2012-12-28,2013-01-11,2012-12-05,30A,"Field Belt, Wide Basketweave",FS720,1, 19.83 ,19.83
8813,45481,2012-12-28,2013-01-11,2012-12-05,30A,Men's Poly Cotton Short Sleeve Field Shirt,FS210,4, 28.83 ,115.32
8815,46027,2012-12-28,2013-01-07,2012-12-11,30A,Women's SS Polo Shirts-White,FS670,2, 35.91 ,71.82
8815,46027,2012-12-28,2013-01-07,2012-12-11,30A,Sweater Vest Unisex,FS226,1, 31.28 ,31.28
8815,46027,2012-12-28,2013-01-07,2012-12-11,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8816,46162,2012-12-28,2013-01-02,2012-12-13,32A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,1, 48.95 ,48.95
8816,46162,2012-12-28,2013-01-02,2012-12-13,31A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,2, 41.06 ,82.12
8816,46162,2012-12-28,2013-01-02,2012-12-13,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8817,46073,2012-12-28,2013-01-08,2012-12-12,30A,Men's LE Dress Trousers,FS882,1, 75.42 ,75.42
8818,46415,2012-12-31,2013-01-07,2012-12-15,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,2, 41.06 ,82.12
8819,46000,2012-12-31,2013-01-02,2012-12-11,30A,Women's 3-Season Jacket,FS373,2, 88.31 ,176.62
8822,46315,2012-12-31,2013-01-07,2012-12-14,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,2, 35.80 ,71.60
8823,45744,2012-12-31,2013-01-25,2012-12-07,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,1, 35.80 ,35.80
8824,46138,2013-01-02,2013-01-15,2012-12-12,30A,Unisex Rain/Wind Pants,FS392,1, 176.18 ,176.18
8824,46138,2013-01-02,2013-01-15,2012-12-12,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8825,45894,2013-01-02,2013-01-17,2012-12-10,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8826,45863,2013-01-02,2013-01-07,2012-12-10,32A,"Men's Polyester/Cotton Lined Casual Trousers with Expandable Waistband, Standard Fit",FS248,1, 55.33 ,55.33
8827,46119,2013-01-02,2013-01-03,2012-12-12,30A,Unisex Poly-Cotton Cruiser,FS340,1, 108.86 ,108.86
8828,45653,2013-01-02,2013-01-08,2012-12-07,30A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,3, 35.80 ,107.40
8830,46652,2013-01-02,2013-01-07,2012-12-18,30A,Women's SS Polo Shirts-White,FS670,1, 35.91 ,35.91
8831,46093,2013-01-02,2013-01-11,2012-12-12,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7160S,1, 41.06 ,41.06
8832,45824,2013-01-02,2013-01-14,2012-12-10,30A,Dress Belt Wide,FS700,1, 19.75 ,19.75
8832,45824,2013-01-02,2013-01-14,2012-12-10,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,1, 41.06 ,41.06
8832,45824,2013-01-02,2013-01-14,2012-12-10,30A,SS Patrol Polo Shirts-White,FS685,1, 35.91 ,35.91
8832,45824,2013-01-02,2013-01-14,2012-12-10,30A,Men's Fleece Top,FS364,1, 68.31 ,68.31
8833,46656,2013-01-02,2013-01-08,2012-12-18,30A,Unisex Poly-Cotton Cruiser,FS340,1, 108.86 ,108.86
8834,46274,2013-01-02,2013-01-16,2012-12-13,31A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7160S,1, 41.06 ,41.06
8836,46090,2013-01-02,2013-01-11,2012-12-12,30A,Women's Wool Pants,FS451,1, 113.60 ,113.60
8836,46090,2013-01-02,2013-01-11,2012-12-12,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7161S,2, 39.56 ,79.12
8837,46139,2013-01-03,2013-01-10,2012-12-12,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8838,45971,2013-01-03,2013-01-30,2012-12-11,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,3, 47.30 ,141.90
8839,46712,2013-01-03,2013-01-10,2012-12-19,30A,Wool Bib Overalls-Unisex,FS452,1, 125.16 ,125.16
8840,46277,2013-01-03,2013-01-10,2012-12-13,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,2, 29.64 ,59.28
8841,45978,2013-01-03,2013-01-07,2012-12-11,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,2, 35.80 ,71.60
8841,45978,2013-01-03,2013-01-07,2012-12-11,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,3, 35.80 ,107.40
8841,45978,2013-01-03,2013-01-07,2012-12-11,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,2, 29.64 ,59.28
8841,45978,2013-01-03,2013-01-07,2012-12-11,30A,"Field Belt, Wide Basketweave",FS720,1, 19.83 ,19.83
8844,45762,2013-01-03,2013-01-07,2012-12-07,30A,Cardigan Sweater Unisex,FS225,1, 51.12 ,51.12
8847,46215,2013-01-03,2013-01-10,2012-12-13,30A,Unisex Rain/Wind Pants,FS392,1, 176.18 ,176.18
8848,45429,2013-01-03,2013-01-14,2012-12-04,30A,Men's LE Long Sleeve Shirt,FS800,2, 51.90 ,103.80
8848,45429,2013-01-03,2013-01-14,2012-12-04,30A,Men's LE Dress Trousers,FS882,1, 75.42 ,75.42
8851,46169,2013-01-03,2013-02-07,2012-12-13,30A,Stetson Straw Hat,FS239,1, 50.30 ,50.30
8852,46545,2013-01-04,2013-01-10,2012-12-17,30A,Women's Ski Jacket,FS379,1, 250.31 ,250.31
8853,46499,2013-01-04,2013-01-10,2012-12-17,30A,Women's Poly Cotton Long Sleeve Field Shirt,FS201,1, 29.64 ,29.64
8854,46038,2013-01-04,2013-02-01,2012-12-11,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8855,45576,2013-01-04,2013-01-07,2012-12-06,30A,Women's SS Polo Shirts-Khaki,FS672,1, 35.91 ,35.91
8855,45576,2013-01-04,2013-01-07,2012-12-06,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7161S,1, 39.56 ,39.56
8855,45576,2013-01-04,2013-01-07,2012-12-06,30A,Women's 3-Season Jacket,FS373,1, 88.31 ,88.31
8857,46400,2013-01-04,2013-01-07,2012-12-14,30A,Women's Dress Trousers,FS611,1, 70.93 ,70.93
8857,46400,2013-01-04,2013-01-07,2012-12-14,30A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,1, 35.80 ,35.80
8858,46771,2013-01-04,2013-01-09,2012-12-19,30A,Women's Fleece Top,FS365,1, 68.31 ,68.31
8859,46339,2013-01-04,2013-01-17,2012-12-14,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8862,45607,2013-01-04,2013-01-22,2012-12-06,30A,Stetson Felt Hat,FS229,1, 143.05 ,143.05
8863,45777,2013-01-07,2013-01-23,2012-12-08,30A,Men's Dress Trousers,FS610,1, 70.93 ,70.93
8864,46257,2013-01-07,2013-01-10,2012-12-13,30A,Women's Ski Jacket,FS379,1, 250.31 ,250.31
8866,46303,2013-01-07,2013-01-16,2012-12-14,30A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,2, 35.80 ,71.60
8867,46302,2013-01-07,2013-01-16,2012-12-14,30A,LS Patrol Polo Shirts-Khaki,FS688,1, 39.54 ,39.54
8868,46305,2013-01-07,2013-01-16,2012-12-14,30A,SS Patrol Polo Shirts-Khaki,FS687,1, 35.91 ,35.91
8868,46305,2013-01-07,2013-01-16,2012-12-14,30A,LS Patrol Polo Shirts-Khaki,FS688,1, 39.54 ,39.54
8869,46311,2013-01-07,2013-01-22,2012-12-14,30A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,3, 35.80 ,107.40
8869,46311,2013-01-07,2013-01-22,2012-12-14,30A,SS Patrol Polo Shirts-Khaki,FS687,4, 35.91 ,143.64
8870,46722,2013-01-07,2013-01-17,2012-12-19,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8871,45926,2013-01-07,2013-01-10,2012-12-11,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,2, 47.30 ,94.60
8877,46118,2013-01-07,2013-02-04,2012-12-12,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7160R,4, 41.06 ,164.24
8878,46724,2013-01-07,2013-01-14,2012-12-19,30A,"Field Belt, Narrow Basketweave",FS721,1, 17.76 ,17.76
8878,46724,2013-01-07,2013-01-14,2012-12-19,30A,LS Patrol Polo Shirts-White,FS686,1, 39.51 ,39.51
8878,46724,2013-01-07,2013-01-14,2012-12-19,30A,"Women's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS259R,1, 35.80 ,35.80
8879,45970,2013-01-07,2013-01-11,2012-12-11,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,1, 39.56 ,39.56
8881,46680,2013-01-07,2013-01-17,2012-12-18,30A,Women's 3-Season Jacket,FS373,1, 88.31 ,88.31
8881,46680,2013-01-07,2013-01-17,2012-12-18,30A,Men's Cotton Long Sleeve Field Shirt,FS214,1, 32.40 ,32.40
8883,46026,2013-01-07,2013-01-11,2012-12-11,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,1, 39.56 ,39.56
8883,46026,2013-01-07,2013-01-11,2012-12-11,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8884,46398,2013-01-07,2013-02-07,2012-12-14,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7160S,1, 41.06 ,41.06
8884,46398,2013-01-07,2013-02-07,2012-12-14,30A,Men's Poly Cotton Short Sleeve Field Shirt,FS210,1, 28.83 ,28.83
8884,46398,2013-01-07,2013-02-07,2012-12-14,30A,Dress Belt Wide,FS700,1, 19.75 ,19.75
8884,46398,2013-01-07,2013-02-07,2012-12-14,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8885,45461,2013-01-07,2013-01-22,2012-12-05,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8886,46330,2013-01-07,2013-01-22,2012-12-14,30A,Women's IKE Jacket,FS103,1, 222.86 ,222.86
8887,46794,2013-01-08,2013-01-17,2012-12-19,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,2, 39.56 ,79.12
8888,45784,2013-01-08,2013-01-11,2012-12-08,30A,Women's LE Long Sleeve Shirt,FS801,1, 51.90 ,51.90
8888,45784,2013-01-08,2013-01-11,2012-12-08,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8889,46329,2013-01-08,2013-01-15,2012-12-14,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8890,46454,2013-01-08,2013-01-11,2012-12-16,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,3, 48.95 ,146.85
8891,45374,2013-01-08,2013-01-17,2012-12-04,30A,Men's Fleece Top,FS364,1, 68.31 ,68.31
8892,46543,2013-01-08,2013-01-22,2012-12-17,30A,Women's Fleece Lined Vest,FS363,1, 77.05 ,77.05
8892,46543,2013-01-08,2013-01-22,2012-12-17,30A,Women's Fleece Bottoms,FS367,1, 54.97 ,54.97
8892,46543,2013-01-08,2013-01-22,2012-12-17,30A,Women's Poly Cotton Short Sleeve Field Shirt,FS211,1, 28.54 ,28.54
8893,45539,2013-01-08,2013-01-22,2012-12-06,30A,Men's Cotton Long Sleeve Field Shirt,FS214,1, 32.40 ,32.40
8894,47003,2013-01-08,2013-01-30,2012-12-23,30A,Unisex Parka & Hood,FS1000,1, 166.96 ,166.96
8895,46501,2013-01-08,2013-01-10,2012-12-17,30A,Women's Ski Jacket,FS379,1, 250.31 ,250.31
8895,46501,2013-01-08,2013-01-10,2012-12-17,30A,Men's Fleece Top,FS364,1, 68.31 ,68.31
8895,46501,2013-01-08,2013-01-10,2012-12-17,30A,Women's Poly Cotton Long Sleeve Field Shirt,FS201,1, 29.64 ,29.64
8895,46501,2013-01-08,2013-01-10,2012-12-17,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,2, 39.56 ,79.12
8896,46808,2013-01-08,2013-01-10,2012-12-20,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8897,46114,2013-01-08,2013-01-11,2012-12-12,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8897,46114,2013-01-08,2013-01-11,2012-12-12,30A,Women's Cotton Long Sleeve Field Shirt,FS215,1, 32.40 ,32.40
8898,45939,2013-01-08,2013-01-16,2012-12-11,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,1, 35.80 ,35.80
8898,45939,2013-01-08,2013-01-16,2012-12-11,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,1, 48.95 ,48.95
8901,46024,2013-01-08,2013-01-10,2012-12-11,30A,Law Enforcement Unisex Sweater,FS855,1, 82.63 ,82.63
8902,46109,2013-01-08,2013-01-10,2012-12-12,30A,Men's Wool Pants,FS400,1, 112.63 ,112.63
8903,47000,2013-01-08,2013-01-11,2012-12-22,30A,Men's Cotton Long Sleeve Field Shirt,FS214,3, 32.40 ,97.20
8904,46713,2013-01-08,2013-01-11,2012-12-19,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8905,46419,2013-01-08,2013-01-16,2012-12-15,30A,Unisex Rain/Wind Shell,FS376,1, 218.55 ,218.55
8906,46920,2013-01-08,2013-01-15,2012-12-21,30A,Zip-off Pant Green Nylon,FS260,1, 98.48 ,98.48
8907,45964,2013-01-08,2013-01-11,2012-12-11,30A,Women's Fleece Top,FS365,1, 68.31 ,68.31
8908,45902,2013-01-08,2013-01-16,2012-12-10,68V,Women's Cotton Long Sleeve Field Shirt,FS215,1, 32.40 ,32.40
8909,46889,2013-01-08,2013-01-14,2012-12-20,30A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,1, 35.80 ,35.80
8910,46219,2013-01-08,2013-01-15,2012-12-13,30A,"Women's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS259R,3, 35.80 ,107.40
8911,46629,2013-01-08,2013-01-11,2012-12-18,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,1, 35.80 ,35.80
8913,45701,2013-01-09,2013-01-23,2012-12-07,30A,Stetson Felt Hat,FS229,1, 143.05 ,143.05
8913,45701,2013-01-09,2013-01-23,2012-12-07,30A,Stetson Straw Hat,FS239,1, 50.30 ,50.30
8914,47075,2013-01-09,2013-01-18,2012-12-27,68V,Women's Poly Cotton Long Sleeve Field Shirt,FS201,1, 29.64 ,29.64
8915,46308,2013-01-09,2013-02-04,2012-12-14,30A,Dress Belt Wide,FS700,1, 19.75 ,19.75
8915,46308,2013-01-09,2013-02-04,2012-12-14,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,2, 35.80 ,71.60
8916,47054,2013-01-09,2013-01-14,2012-12-26,30A,Men's Lined Field Jeans,FS245,1, 43.10 ,43.10
8916,47054,2013-01-09,2013-01-14,2012-12-26,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,4, 35.80 ,143.20
8917,46981,2013-01-09,2013-01-18,2012-12-21,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8918,46609,2013-01-09,2013-01-10,2012-12-18,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,1, 35.80 ,35.80
8920,46358,2013-01-09,2013-01-09,2012-12-14,68V,Gold Nameplate,FS600,1, 11.26 ,11.26
8929,46105,2013-01-09,2013-01-16,2012-12-12,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8930,46769,2013-01-09,2013-01-16,2012-12-19,68V,SS Patrol Polo Enforcement-Khaki,FS830,2, 35.91 ,71.82
8931,45943,2013-01-09,2013-01-30,2012-12-11,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8932,46675,2013-01-09,2013-01-16,2012-12-18,30A,"Women's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS259R,1, 35.80 ,35.80
8935,46701,2013-01-10,2013-01-16,2012-12-18,30A,"Men's Polyester/Cotton Lined Casual Trousers with Expandable Waistband, Standard Fit",FS248,1, 55.33 ,55.33
8935,46701,2013-01-10,2013-01-16,2012-12-18,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,1, 39.56 ,39.56
8936,47224,2013-01-10,2013-01-14,2012-12-31,30A,Women's Wool Pants,FS451,1, 113.60 ,113.60
8937,47067,2013-01-10,2013-01-17,2012-12-26,30A,Stetson Straw Hat,FS239,1, 50.30 ,50.30
8938,47010,2013-01-10,2013-01-14,2012-12-24,32A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,1, 35.80 ,35.80
8939,47319,2013-01-10,2013-01-15,2013-01-02,32A,"Women's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS259S,1, 35.80 ,35.80
8939,47319,2013-01-10,2013-01-15,2013-01-02,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7161S,1, 39.56 ,39.56
8941,46820,2013-01-10,2013-01-16,2012-12-20,30A,"Men's Polyester/Cotton Lined Casual Trousers with Expandable Waistband, Standard Fit",FS248,1, 55.33 ,55.33
8941,46820,2013-01-10,2013-01-16,2012-12-20,30A,Unisex Wool Cruiser Coat,FS320,1, 161.98 ,161.98
8945,47148,2013-01-10,2013-01-14,2012-12-28,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,2, 29.64 ,59.28
8947,46949,2013-01-10,2013-01-17,2012-12-21,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,2, 48.95 ,97.90
8948,45926,2013-01-10,2013-01-14,2012-12-11,30A,Women's SS Polo Shirts-Khaki,FS672,2, 35.91 ,71.82
8950,47114,2013-01-10,2013-02-12,2012-12-27,68V,Gold Nameplate,FS600,1, 11.26 ,11.26
8951,46937,2013-01-10,2013-01-17,2012-12-21,32A,Polar Hat,FS368,1, 24.45 ,24.45
8951,46937,2013-01-10,2013-01-17,2012-12-21,30A,Unisex Cotton Coveralls,FS500,1, 42.96 ,42.96
8951,46937,2013-01-10,2013-01-17,2012-12-21,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8951,46937,2013-01-10,2013-01-17,2012-12-21,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,1, 48.95 ,48.95
8951,46937,2013-01-10,2013-01-17,2012-12-21,30A,Men's Fleece Top,FS364,1, 68.31 ,68.31
8952,47084,2013-01-10,2013-01-24,2012-12-27,30A,Men's Cotton Long Sleeve Field Shirt,FS214,1, 32.40 ,32.40
8952,47084,2013-01-10,2013-01-24,2012-12-27,30A,"Field Belt, Wide Basketweave",FS720,1, 19.83 ,19.83
8952,47084,2013-01-10,2013-01-24,2012-12-27,30A,"Men's 100% Cotton Jeans with Expandable Waistband, Relaxed Fit",FS258R,1, 35.80 ,35.80
8953,46377,2013-01-10,2013-01-24,2012-12-14,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,2, 48.95 ,97.90
8954,45394,2013-01-10,2013-01-30,2012-12-04,30A,Men's LE Dress Trousers,FS882,1, 75.42 ,75.42
8955,46098,2013-01-10,2013-01-22,2012-12-12,30A,Unisex Wool Cruiser Coat,FS320,1, 161.98 ,161.98
8955,46098,2013-01-10,2013-01-22,2012-12-12,30A,Women's 3-Season Jacket,FS373,1, 88.31 ,88.31
8957,46097,2013-01-10,2013-01-18,2012-12-12,30A,Clip On Tie Solid Green,FS160,1, 5.39 ,5.39
8957,46097,2013-01-10,2013-01-18,2012-12-12,30A,"Women's Polyester/Cotton Casual Trousers with Expandable Waistband, Relaxed Fit",FS7161R,1, 39.56 ,39.56
8957,46097,2013-01-10,2013-01-18,2012-12-12,30A,Women Skirt Dark Green,FS603,1, 83.33 ,83.33
8958,46873,2013-01-10,2013-01-14,2012-12-20,32A,Men's Dress Trousers,FS610,1, 70.93 ,70.93
