client_id,Sharepoint,Region,Unit,Subunit
22131,1007835,1,15,0
22130,31783,5,3,0
22129,3120,6,27,0
22128,27275,6,1,0
22127,12254,13,82,0
22126,24386,5,13,52
22124,23620,1,4,0
22123,24717,2,12,10
22122,121977,5,7,53
22121,68974,9,12,0
22120,278666,5,6,0
22119,210418,6,18,0
22118,257255,2,15,0
22117,276623,5,3,53
22116,315791,5,7,0
22115,24097,5,20,13
22114,22571,6,17,9
22113,122350,5,7,0
22111,1000628,9,8,2
22110,37175,3,10,1
22109,1008029,16,15,0
22108,15452,6,14,0
22107,17491,2,9,3
22106,25372,8,12,0
22105,1007105,8,9,0
22104,42408,4,12,1
22103,1006367,3,5,0
22101,1005689,6,16,6
22100,4117,1,5,0
22099,47204,8,10,2
22098,1007997,9,22,2
22097,275311,1,5,0
22096,1004928,9,5,0
22092,48496,5,14,59
22091,23931,6,12,0
22090,8411,8,10,0
22089,294247,4,14,4
22088,45052,6,27,0
22087,300585,1,18,8
22086,45993,8,10,0
22085,39790,6,5,0
22084,23437,4,14,4
22082,26521,5,4,54
22081,326030,5,15,0
22080,1008011,9,22,5
22079,60825,5,15,0
22078,11349,5,12,0
22077,26923,5,9,0
22076,1006587,5,7,0
22075,273905,5,1,56
22074,1008139,4,19,8
22072,29021,4,2,0
22071,35274,2,6,9
22070,28058,4,17,2
22069,68311,2,10,5
22065,1005874,3,10,0
22064,196487,1,11,2
22063,212622,5,8,54
22062,5792,3,3,0
22061,1000468,3,3,0
22060,51211,6,16,5
22059,291274,1,5,2
22058,1002439,5,7,53
22057,220570,6,3,0
22056,14915,2,3,6
22055,244668,3,1,6
22050,1007612,1,17,0
22049,1006401,5,11,0
22048,27698,1,18,8
22047,1006910,10,5,33
22046,333196,9,12,4
22045,309661,6,12,5
22044,256658,5,3,0
22043,279606,9,9,1
22042,201867,5,3,56
22041,255311,5,12,52
22040,1003641,8,5,4
22029,38214,9,9,7
22028,336458,4,13,2
22027,218145,2,15,0
22024,255011,3,4,0
22023,50717,6,10,23
22022,2481,5,15,51
22021,299584,5,2,52
22020,329681,2,10,5
22019,1007136,9,13,12
22018,1006175,3,2,0
22017,19316,4,10,4
22016,198790,5,5,52
22015,39182,16,10,1
22014,18843,1,14,0
22013,43480,5,1,0
22012,1006417,5,2,52
22011,1007832,9,19,0
22010,1006426,9,13,5
22009,1002152,5,16,51
22008,288942,6,14,4
22007,1007999,1,8,3
21993,273467,5,2,54
21992,43857,6,2,4
21991,30305,2,31,0
21990,34829,4,10,0
21989,1007851,3,5,3
21988,18780,2,12,10
21987,218838,5,19,0
21986,11068,5,20,0
21985,205537,3,6,5
21984,49302,9,5,5
21983,7917,5,16,54
21982,308278,5,12,0
21981,300602,5,7,55
21980,124107,4,13,4
21978,121589,5,3,56
21977,13789,6,15,0
21976,3615,4,17,1
21975,238662,2,14,4
21974,301801,9,5,23
21973,288274,5,6,51
21972,1007112,9,20,0
21971,121084,3,9,5
21970,305547,3,1,6
21969,51785,3,10,3
21968,60363,5,6,58
21967,6553,2,15,7
21966,40220,4,13,4
21965,21838,5,3,0
21950,42814,5,19,0
21949,1006215,8,12,0
21948,1006608,4,3,3
21947,1006563,9,20,0
21946,8473,2,7,0
21945,1003815,9,10,0
21944,61687,9,8,4
21943,188609,1,4,0
21942,272780,5,3,56
21936,49422,4,13,7
21935,246604,5,2,52
21934,229089,3,9,0
21933,1000226,2,6,0
21932,1006573,5,1,0
21931,207473,3,10,3
21930,15712,3,7,3
21922,9794,3,10,0
21921,327694,13,24,0
21920,1005316,42,54,0
21919,254904,5,6,51
21913,25246,5,12,55
21912,1001756,13,60,3
21911,30337,9,20,0
21910,1002593,6,2,1
21909,193252,8,10,4
21908,27865,4,60,0
21906,1003136,6,17,3
21905,259234,5,3,53
21904,2663,10,1,0
21903,1819,5,17,54
21902,39994,2,3,1
21901,1006760,6,12,4
21900,63255,5,11,2
21899,221201,8,10,4
21898,208647,6,12,4
21897,207685,8,1,4
21891,1006911,6,22,0
21890,299535,5,1,56
21889,1007122,5,4,0
21888,288183,2,12,6
21887,43113,5,17,57
21881,256598,5,3,56
21880,1007605,4,15,55
21879,1008000,3,1,6
21878,61172,4,14,0
21877,17293,2,7,2
21876,316717,13,82,0
21875,1003567,16,24,0
21874,291836,3,1,0
21873,1002332,4,10,0
21872,292252,2,14,3
21871,59009,9,10,1
21870,128267,3,3,0
21869,1000512,2,15,0
21868,27944,5,6,51
21867,1004570,5,11,2
21866,1007325,6,10,28
21865,279676,1,16,4
21864,298099,5,12,0
21863,312953,2,6,4
21862,1007604,6,12,5
21849,1007102,5,6,58
21848,247399,13,2,0
21847,257403,5,1,54
21846,184926,8,3,8
21845,1007123,8,1,3
21844,298798,5,1,53
21843,17723,4,15,54
21842,28876,3,1,1
21841,1002400,8,12,0
21840,21970,2,3,6
21839,1006356,3,10,0
21838,1004406,8,6,1
21837,124712,2,12,11
21836,2855,5,3,55
21832,1007008,6,15,3
21831,1003408,5,10,53
21826,1005827,6,9,5
21821,46006,6,1,0
21820,1006769,16,15,0
21819,3093,10,4,30
21818,273023,5,13,52
21817,1000014,5,1,51
21816,326632,9,15,1
21815,62148,8,11,0
21814,331625,9,19,0
21813,58847,6,1,0
21807,255035,5,15,0
21806,284658,5,4,52
21805,1005816,6,18,3
21804,57486,9,9,5
21803,196257,2,10,0
21802,1007326,9,19,2
21801,1004081,5,2,54
21798,1006361,5,4,53
21797,1004734,3,1,7
21793,270811,8,6,0
21792,307353,3,1,1
21791,1004768,5,15,0
21790,43034,3,4,7
21789,288343,5,1,52
21788,1006537,4,15,0
21787,1006228,4,15,0
21786,44701,1,4,0
21785,325716,1,11,3
21784,1001501,10,5,21
21783,336352,5,1,53
21781,265643,3,5,2
21780,274257,4,14,5
21779,38358,25,2,0
21778,31459,25,2,0
21777,52856,5,9,0
21776,178385,6,7,0
21770,9293,1,5,5
21769,291996,5,12,51
21768,1002835,3,6,2
21767,48559,1,17,5
21766,1007384,5,20,0
21765,314352,5,11,0
21760,66426,5,2,53
21759,1006906,5,15,55
21758,336268,6,3,0
21757,326186,8,1,0
21756,1004979,8,2,17
21755,61173,8,8,2
21754,1006390,5,12,0
21753,284662,8,2,17
21752,59234,9,4,0
21751,13937,6,16,0
21750,301789,1,11,1
21749,2925,5,17,57
21748,23285,5,17,54
21747,276764,5,17,54
21746,25166,25,2,0
21745,1006548,9,13,0
21744,41272,8,6,0
21743,55136,9,7,6
21742,47609,5,11,2
21741,6668,8,6,0
21739,124121,4,13,4
21738,1006409,8,60,0
21737,305564,13,82,0
21736,331820,5,20,0
21735,1005703,1,18,8
21734,240586,5,17,57
21733,1006418,8,5,5
21732,178211,5,8,56
21731,1006193,6,4,4
21730,9025,5,2,52
21729,1006413,1,14,0
21728,1003754,4,17,7
21727,307173,6,2,12
21726,254132,5,8,56
21725,215428,5,17,57
21724,43714,6,17,0
21723,1005731,9,21,2
21722,1002931,9,22,4
21721,1005851,6,2,12
21709,317624,5,7,51
21708,12674,6,7,0
21707,289844,5,16,54
21706,334518,3,2,2
21705,1006226,9,21,3
21704,46702,5,17,54
21703,1006550,3,2,4
21702,197978,3,3,6
21701,257308,5,5,55
21697,263803,8,31,0
21696,306506,5,3,56
21695,297451,6,6,0
21694,1006404,5,12,0
21693,10723,1,56,0
21692,5642,9,5,0
21691,37555,5,7,54
21690,258085,5,1,52
21689,308100,5,1,53
21688,1006378,5,2,53
21687,1006353,9,10,0
21686,204164,9,9,0
21685,10809,2,31,0
21684,179289,1,56,0
21683,244758,5,15,0
21674,334160,3,2,6
21673,265677,5,12,54
21672,287146,5,17,57
21671,1006611,9,4,1
21670,1006586,8,12,7
21669,3665,5,17,57
21668,1006410,2,6,5
21667,279432,5,5,0
21666,1006765,6,2,3
21665,201513,6,17,0
21664,1005860,8,1,5
21663,46316,9,14,0
21660,239532,5,16,51
21659,1001929,16,18,0
21658,323792,2,13,2
21657,309914,5,6,51
21656,1005834,9,7,0
21655,1004001,8,7,17
21654,1007032,9,13,4
21653,48446,8,3,2
21652,285034,8,11,8
21651,38427,13,81,0
21646,1002325,5,4,51
21645,1006623,5,15,0
21644,289968,5,6,53
21643,1005687,2,9,0
21642,210598,4,7,0
21641,1007108,9,9,5
21640,200113,6,3,0
21639,1006406,2,4,0
21638,1006612,8,5,2
21637,51945,1,2,0
21636,307004,9,10,1
21635,44405,8,8,0
21634,291956,9,5,3
21633,35141,5,17,57
21632,121069,2,6,0
21631,217649,6,16,6
21630,1002673,5,14,0
21622,65871,5,11,2
21621,197854,4,7,2
21620,1006620,9,8,2
21619,274217,9,13,2
21618,127056,9,20,3
21617,123478,9,5,3
21616,257215,5,12,54
21615,121032,2,15,10
21614,262884,4,17,0
21613,221391,5,1,0
21612,189550,4,7,0
21611,15539,4,7,2
21610,298777,5,7,51
21609,1002947,3,10,1
21608,20529,5,9,54
21607,2816,6,4,4
21606,1006579,3,12,3
21602,1006189,9,3,0
21601,1006909,9,22,0
21600,1007029,9,13,2
21599,3782,2,3,3
21598,1007004,6,4,2
21597,241980,5,9,56
21596,192745,9,9,6
21595,336799,3,1,7
21594,1006214,2,3,1
21593,291705,3,3,5
21592,1007011,42,0,3
21591,123065,1,12,4
21590,1006772,5,15,53
21589,1005365,4,8,2
21588,13431,4,7,2
21587,1006551,9,13,3
21585,336160,6,15,3
21584,1006360,8,5,0
21583,38376,3,8,0
21582,1007111,2,14,0
21581,1007028,5,10,51
21580,278669,6,4,2
21579,291724,5,12,52
21578,61548,5,6,51
21577,26748,8,8,6
21576,1006593,6,9,3
21575,289516,4,10,3
21574,1006574,8,7,2
21573,337517,6,2,1
21572,70883,5,7,0
21571,1004871,6,4,2
21570,1006592,10,4,0
21569,213480,5,15,53
21568,191298,8,6,1
21567,272927,5,10,51
21566,3049,2,15,3
21565,1003957,4,13,2
21564,1006199,16,29,0
21507,1000007,5,1,51
21440,,,,
21412,,,,
21374,197974,5,20,12
21373,49758,8,3,8
21372,174150,2,6,4
21371,194338,5,20,12
21370,216589,5,20,12
21369,22849,6,1,1
21368,17028,5,20,12
21367,48911,5,20,12
21366,192507,5,20,12
21365,1005732,5,16,0
21364,39930,5,20,12
21363,48591,5,20,12
21362,14932,5,20,12
21361,2806,5,20,12
21360,693,3,6,0
21359,13255,5,20,12
21358,288981,5,20,12
21357,6149,6,21,12
21356,212810,5,20,12
21355,218545,6,1,1
21354,1005848,9,14,1
21353,274739,4,19,2
21352,40912,5,20,12
21351,1005840,8,5,0
21350,257327,5,16,54
21349,24647,5,20,12
21348,225631,5,20,12
21347,40153,5,20,12
21346,305727,5,5,57
21345,239530,5,20,12
21337,47136,13,20,0
21336,316270,1,3,4
21335,24577,5,20,12
21334,292529,2,13,8
21333,276277,2,3,8
21332,49527,8,31,0
21331,1005841,13,25,0
21330,1000365,2,12,0
21329,11783,42,52,0
21328,19484,1,12,0
21327,303475,13,60,3
21324,317658,5,8,54
21323,64011,6,1,0
21322,1006492,1,18,7
21321,323871,2,6,2
21320,25838,5,19,0
21319,48908,3,6,4
21318,279403,8,8,13
21317,35507,5,2,54
21315,334251,5,6,53
21314,261867,5,3,51
21313,26256,6,17,3
21312,291413,6,3,5
21311,215655,6,4,0
21310,1005740,5,9,55
21308,1300,8,9,7
21307,16524,6,21,12
21306,274544,6,3,1
21305,295455,1,18,0
21304,1233,3,5,3
21303,328511,1,12,1
21299,202151,4,2,5
21298,1005723,4,2,0
21297,43703,1,18,7
21296,181478,4,8,3
21295,25341,4,2,7
21294,37575,3,2,7
21293,1005809,8,31,0
21292,262972,3,2,0
21291,69180,1,18,7
21290,12185,4,2,1
21289,256338,4,2,7
21285,267624,5,19,0
21284,7386,6,27,0
21283,34678,10,5,0
21282,28067,6,21,12
21281,9174,6,1,1
21280,288764,3,6,3
21279,329708,6,6,0
21278,270809,8,31,0
21269,62248,3,5,4
21268,327695,1,11,7
21264,271491,5,11,3
21263,49956,5,17,0
21262,174781,5,2,53
21261,408,4,19,7
21260,62041,3,6,4
21259,1003539,6,14,6
21258,10779,2,9,7
21257,4876,5,20,0
21256,1005830,2,12,3
21255,8087,6,2,2
21254,226027,4,14,0
21253,330648,5,17,0
21249,45221,1,12,2
21248,1003272,3,8,1
21247,293806,6,14,0
21246,188539,8,31,0
21245,63384,6,12,1
21242,170839,4,8,3
21241,317622,5,11,2
21240,1003674,8,12,0
21239,1004436,5,6,0
21238,225070,8,9,9
21237,45689,5,10,0
21236,306264,3,5,0
21235,52006,5,20,0
21234,321984,13,60,3
21233,293872,6,1,1
21232,27730,1,4,7
21231,26792,4,10,0
21230,197395,4,19,7
21229,59113,2,31,0
21222,122427,9,15,1
21221,1002351,2,13,5
21220,15892,4,15,55
21219,68504,8,11,8
21218,259335,3,5,4
21217,306367,5,5,55
21216,27808,6,21,0
21214,,,,
21213,186568,5,12,0
21212,292134,8,4,6
21211,334139,42,52,0
21210,25729,3,1,0
21209,1003189,8,10,0
21208,1005364,9,19,0
21207,28949,13,81,0
21206,291853,10,5,0
21205,63931,2,4,8
21204,260868,4,12,2
21203,245880,2,15,0
21202,274484,6,2,0
21199,9142,42,53,0
21198,201446,3,4,6
21197,16881,4,10,5
21196,336575,5,14,58
21195,198820,3,7,0
21194,28355,1,18,8
21193,14835,2,3,0
21192,278137,9,8,0
21191,34473,3,1,0
21189,1005329,4,8,0
21188,307061,1,12,0
21187,61495,10,5,31
21186,1005717,3,9,1
21185,18944,10,5,31
21184,282584,5,1,0
21183,57343,5,20,0
21180,1002565,5,4,54
21179,55821,3,9,0
21178,29115,5,13,0
21177,6988,2,7,0
21176,5562,10,5,0
21175,1002189,16,5,0
21174,9465,5,6,58
21173,1005357,8,1,4
21172,120964,9,15,1
21171,26657,2,12,0
21170,238660,1,2,0
21166,1000374,27,21,48
21165,261828,6,1,0
21164,56942,8,9,10
21163,121391,9,5,21
21162,48207,5,16,52
21161,41380,5,1,0
21160,1002032,1,56,0
21159,8070,6,4,0
21158,19582,4,19,3
21157,289560,4,14,1
21153,290757,4,7,2
21152,334622,3,4,6
21151,125363,5,6,58
21150,21590,6,6,0
21149,1005755,4,7,2
21148,215634,3,2,2
21147,33241,6,21,4
21146,1004998,2,15,0
21145,259226,3,12,1
21144,24091,5,15,55
21143,1002313,1,4,0
21142,274188,9,3,0
21141,247837,3,12,0
21140,213282,8,10,0
21139,48659,2,31,0
21138,66154,2,31,0
21137,307131,2,3,1
21136,309280,2,2,3
21135,1002818,1,16,0
21134,65219,3,2,2
21133,64514,8,31,0
21132,292438,9,3,0
21131,1004156,5,20,0
21130,44188,8,6,2
21129,1003681,8,9,0
21128,183457,22,16,0
21122,1005358,9,3,3
21121,205971,2,6,3
21120,1004993,4,3,3
21119,170361,6,3,0
21118,295126,3,3,5
21117,1004208,5,14,58
21116,32364,5,21,0
21115,1003097,5,20,0
21114,13211,9,20,5
21112,1005271,6,1,1
21111,12418,42,52,0
21110,306446,13,24,0
21109,316269,4,17,8
21108,22553,5,3,51
21107,197026,5,15,0
21106,57605,9,13,0
21105,336572,4,17,3
21104,10553,4,2,1
21103,45012,2,13,6
21102,1004814,5,15,0
21099,,,,
21098,,,,
21097,1003478,10,5,0
21096,1005296,3,10,0
21095,67079,8,12,0
21094,50744,8,11,2
21093,1003993,6,16,4
21092,296712,6,1,1
21091,58831,5,14,0
21090,1004499,5,10,54
21089,1004944,9,7,0
21087,1004780,5,12,52
21086,334142,5,4,0
21085,52268,1,3,2
21084,1001486,2,9,0
21083,1001725,3,10,0
21082,49963,2,15,0
21081,242272,4,3,0
21080,1004849,3,4,0
21079,37690,1,3,0
21078,330415,2,4,0
21077,17568,2,13,6
21076,1002473,3,12,6
21075,1002474,9,21,4
21074,311709,2,4,6
21073,36277,1,16,0
21072,222171,6,27,0
21071,5752,4,13,0
21070,124247,1,17,0
21069,178740,2,12,0
21068,1005016,6,14,0
21067,194742,6,6,5
21066,29552,2,10,0
21065,35308,2,4,0
21064,4043,9,9,6
21063,31182,2,4,0
21062,1001491,4,19,0
21061,254569,2,10,0
21060,1002038,8,31,0
21059,60414,9,5,4
21055,47925,6,14,5
21054,8618,2,15,10
21053,61690,3,2,6
21052,125233,3,7,1
21051,335565,6,17,3
21050,31874,8,10,6
21049,53585,1,16,7
21047,326675,9,5,23
21046,291784,9,5,23
21045,193395,4,19,1
21044,299955,5,9,56
21043,334861,8,2,14
21042,225609,9,5,23
21041,32968,9,12,4
21040,25833,6,2,13
21039,15581,3,2,2
21038,1004912,9,5,4
21037,8983,5,1,0
21036,317251,3,12,0
21035,187842,1,14,5
21034,1005742,5,6,53
21033,251766,6,2,16
21032,1005694,9,21,5
21031,335339,4,60,0
21030,3111,27,21,48
21027,42014,13,82,0
21026,122830,3,6,7
21025,283282,2,31,0
21024,61730,2,3,3
21023,26362,3,9,0
21022,302823,2,6,9
21021,30207,10,5,33
21020,276015,3,1,0
21019,6891,6,7,0
21018,31456,6,6,0
21017,272037,3,6,7
21013,,,,
21012,326669,9,15,1
21011,200784,4,3,0
21010,5364,2,10,0
21009,248217,13,25,0
21008,1003967,1,16,3
21007,51023,9,22,2
21004,41312,3,7,3
21003,214013,5,11,3
21002,329988,5,20,0
21001,52954,9,22,4
21000,253399,8,10,6
20996,50220,5,17,54
20995,59770,3,7,0
20994,1004963,5,7,0
20993,43457,24,23,7
20992,8514,8,1,0
20988,173278,4,3,0
20987,52577,8,9,10
20986,28283,10,4,30
20985,41657,2,3,0
20984,1001784,16,19,0
20983,6183,6,14,5
20982,120703,2,4,0
20981,37459,1,3,0
20980,1003991,2,6,1
20977,58557,6,17,0
20976,59027,6,7,1
20975,1002893,9,4,0
20974,275878,8,60,0
20972,266217,3,12,0
20971,975,3,6,5
20970,8545,5,8,0
20969,47838,9,9,5
20965,326890,5,5,57
20964,1001767,2,12,11
20963,23239,6,16,0
20962,48091,6,14,2
20961,1002870,9,9,5
20960,222035,3,6,3
20959,34710,22,16,0
20958,21350,8,6,4
20953,21566,1,16,4
20952,266674,8,9,10
20951,244850,8,9,10
20950,23196,8,9,10
20949,54107,8,9,10
20948,336961,2,4,0
20947,32647,3,16,0
20946,13936,9,20,0
20945,6054,8,16,0
20944,56514,8,10,0
20943,32957,3,8,0
20942,2148,6,5,2
20941,70461,2,16,0
20940,308727,8,9,10
20939,41889,6,1,7
20938,1002434,9,10,0
20937,43062,8,12,0
20936,318142,5,7,53
20935,1003066,16,19,0
20934,240324,5,3,0
20933,42530,6,1,7
20932,49265,6,10,0
20931,57683,6,1,2
20930,1004336,6,1,7
20929,275151,3,10,2
20928,290085,3,8,2
20927,196860,5,6,53
20926,210914,3,8,2
20925,37653,3,9,5
20924,39655,6,7,0
20923,242970,5,8,56
20922,124011,2,3,3
20921,1004585,2,4,0
20920,47036,5,2,0
20919,1003986,5,16,53
20918,264952,9,13,13
20917,292864,4,3,0
20916,299094,5,2,0
20915,258909,3,12,1
20914,259247,5,16,51
20911,323362,9,3,1
20910,61511,5,5,55
20909,38911,5,6,53
20908,259555,2,3,3
20907,1002595,8,5,2
20906,1000469,5,16,54
20905,255824,1,3,4
20904,302095,16,29,0
20901,31924,8,10,0
20900,1002070,13,2,0
20899,324952,9,20,0
20898,179478,8,10,4
20897,1004324,5,16,54
20896,1003633,6,5,5
20895,62227,8,9,5
20894,33314,9,22,0
20893,324429,1,3,4
20892,2905,2,6,2
20891,57968,3,1,2
20890,29967,3,16,0
20889,257104,3,1,2
20888,6743,4,17,1
20887,258406,4,2,4
20886,256555,5,1,53
20885,337330,3,5,1
20883,29637,6,17,0
20882,194771,8,10,4
20881,325246,3,7,1
20880,288900,5,14,52
20879,210002,10,5,51
20878,7490,8,10,4
20877,57990,8,10,4
20876,1005262,5,5,0
20875,7436,8,10,4
20874,249350,5,20,0
20873,49351,8,10,4
20872,238193,8,10,4
20871,51295,8,10,4
20870,257446,1,18,8
20869,283769,5,7,53
20868,191203,5,7,57
20866,270043,6,18,5
20865,13260,6,5,0
20864,281602,5,1,51
20863,335496,3,2,0
20862,123749,8,9,10
20861,1002802,9,21,5
20860,38681,8,9,10
20858,281903,4,2,7
20857,32090,13,20,0
20856,1004956,5,6,53
20855,1003419,9,3,0
20854,281536,5,12,51
20853,34232,1,12,0
20852,41988,4,12,1
20851,302256,16,29,0
20850,32590,8,9,0
20849,39794,1,5,3
20848,69792,1,2,2
20847,295404,2,13,6
20846,219993,6,16,2
20845,40462,2,13,5
20844,173788,2,15,0
20843,310118,4,2,7
20842,37254,9,13,11
20841,273621,5,12,51
20837,48125,3,3,2
20836,51056,2,9,4
20835,55803,3,3,2
20834,28256,8,13,8
20833,17408,2,4,2
20832,39731,4,17,1
20830,323991,5,12,0
20829,289759,5,7,0
20828,249892,5,12,52
20827,252311,2,4,6
20824,336757,5,6,58
20823,37982,2,12,0
20822,55126,5,19,0
20821,1003039,9,10,1
20820,275523,9,5,7
20819,1003233,16,6,0
20814,1004980,9,4,3
20813,48990,9,4,0
20812,2931,8,6,1
20811,43561,5,7,57
20810,19247,2,31,0
20809,10681,10,4,20
20808,219801,1,3,2
20807,37572,5,7,0
20806,329371,6,15,0
20805,21134,6,16,2
20804,284643,2,12,0
20803,275667,2,15,8
20802,1003841,4,17,0
20796,63485,2,13,8
20795,40881,9,15,1
20794,39652,6,1,0
20793,1003990,6,16,2
20792,324810,5,5,57
20791,308816,2,10,1
20790,49549,6,16,2
20789,33990,6,16,2
20788,227202,8,5,4
20787,1002529,5,5,57
20786,1004257,3,9,3
20785,29638,6,1,5
20784,1000282,5,12,53
20783,1001496,6,7,0
20782,308514,3,10,0
20781,216092,5,11,2
20780,20582,10,4,20
20779,218451,6,16,5
20778,57793,4,12,0
20777,31707,9,7,0
20776,227,9,3,0
20775,14506,9,7,0
20774,212824,5,6,58
20773,42469,1,2,0
20772,35367,1,2,0
20771,304116,2,9,0
20765,,,,
20763,300627,5,7,53
20762,19094,3,8,1
20761,9571,3,3,0
20760,289905,4,1,1
20759,1002704,5,9,56
20758,57947,1,8,4
20757,261180,3,3,0
20756,1004120,9,5,0
20755,308811,1,56,0
20750,334133,2,6,1
20749,46352,1,8,4
20748,335375,6,5,2
20747,9448,6,21,0
20746,19455,2,13,5
20745,7628,1,2,1
20744,1002544,5,9,54
20743,37087,13,24,0
20742,1003584,2,14,0
20741,46513,3,5,2
20740,307321,5,3,51
20739,9853,4,12,2
20738,1002569,5,5,57
20737,314221,1,4,3
20736,215978,6,16,5
20735,336949,2,3,1
20734,45191,6,4,4
20733,50145,5,12,53
20732,329293,2,31,0
20726,289971,4,2,5
20725,305697,8,36,0
20724,1002908,5,13,52
20723,38501,2,4,0
20722,4285,4,1,2
20721,13690,13,25,0
20720,334780,5,6,51
20719,23449,2,12,0
20718,1122,1,10,4
20717,336965,5,9,54
20716,229439,2,7,6
20715,262964,5,7,53
20714,309834,2,13,5
20713,22907,8,12,7
20709,259190,8,6,1
20708,1003999,9,4,0
20707,237943,5,10,51
20706,334726,4,13,0
20700,1003738,4,17,0
20699,240031,5,16,54
20698,24744,6,16,0
20697,1003764,5,9,54
20696,56231,13,60,10
20695,42201,24,23,0
20694,1002697,6,10,24
20693,23274,1,4,3
20689,285366,5,16,51
20688,193082,9,19,3
20687,211545,8,8,2
20686,1003396,4,2,1
20685,1003923,2,6,5
20684,15442,8,8,2
20683,290766,1,4,4
20682,1004019,2,6,5
20681,27869,5,15,0
20680,1003460,5,5,52
20679,41471,1,2,6
20678,4921,1,4,0
20674,200387,5,1,51
20673,301438,9,19,3
20672,214373,3,4,6
20671,52201,8,9,7
20670,31007,3,5,0
20669,288113,9,5,0
20668,41360,8,9,7
20667,272950,3,5,1
20666,51933,4,15,52
20665,195409,4,15,52
20664,240799,9,19,3
20663,55596,4,7,0
20662,1001003,9,19,3
20656,327577,2,2,3
20655,19438,42,42,0
20654,33047,5,15,55
20653,40344,4,13,6
20652,5159,4,13,6
20651,239299,5,16,51
20650,249344,5,13,54
20649,309770,6,7,1
20648,243157,9,19,2
20647,52636,5,5,57
20646,55922,27,21,0
20645,1004280,2,6,3
20644,13619,13,24,0
20643,40235,6,7,1
20642,5390,4,17,9
20641,122823,5,10,0
20640,187,4,13,0
20636,289715,6,6,5
20635,15807,3,2,2
20634,1003130,6,3,3
20633,335263,5,14,56
20632,212489,5,10,54
20631,215812,2,6,3
20630,57491,5,5,55
20629,325718,3,2,4
20628,256374,5,1,0
20627,323919,5,6,51
20626,203872,4,13,0
20624,,,,
20622,1000551,5,16,0
20621,194648,1,16,6
20620,228578,8,12,7
20619,334738,4,13,0
20618,1002292,24,23,0
20617,250302,8,6,0
