JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
231121,CENTRO 185 LELAND AVE,489,4537.6
231121,CNY Bus  Of Oneida And Utica - Janitor,209.25,1925.1
231129,CENTRO 185 LELAND AVE ACTIVITIES,19.5,249.84
231129,CNY Bus Of Oneida And Utica - Activities,24.5,311.5
231131,CENTRO 200 GENESEE ST,28.75,266.9
231139,CENTRO 200 GENESEE ST ACTIVITIES,7.05,89.63
231141,ONEICOUN 1101 SHERMAN DR,24,249.6
231201,DOT Bridge Maint Janitor,65.5,661.75
231201,NYSDOT 2436 CHENANGO RD,195.75,1982.19
231209,DOT Bridge Maint - Activities,5,72.68
231209,NYSDOT 2436 CHENANGO RD ACTIVITIES,15.5,225.29
231221,DOT Engineering,109.75,1180
231221,NYSDOT 2436 CHENANGO RD,167.5,1800.92
231229,DOT Engineering - Activities,9.75,117
231229,NYSDOT 2436 CHENANGO RD ACTIVITIES,9.75,117
231235,DOT Tech Lab S&W,16.75,158.3
231240,DOT Technical Services Lab,79,703.12
231240,NYSDOT 1701 BROAD ST,211.5,2027.39
231249,DOT Technical Services Lab - Activities,3,31.11
231249,NYSDOT 1701 BROAD ST ACTIVITIES,11,127.72
231271,CNYDDSO 120 ELIZABETH ST,295.25,2807.7
231271,Elizabeth Street Janitor,446.75,4110.1
231275,Elizabeth Street  S&W,117,1105.65
231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,18.5,172.79
231279,Elizabeth St DDSO - Activities,22,202.69
231525,Marcy Day Treatment S&W,228,2154.6
231531,CNYDDSO 9501 RIVER RD,431.5,3948.24
231531,Marcy Day Treatment - Janitor,667.25,5962.09
231539,CNYDDSO 9501 RIVER RD ACTIVITIES,24.56666667,272.73
231539,Marcy Day Treatment - Activities,32.5,355.9
231541,MVPCMCPI 1213 COURT ST,1927.5,17733
231541,McPike Janitor,1282.5,11799
231549,MVPCMCPI 1213 COURT ST ACTIVITIES,130,1652.3
231549,McPike - Actvities,127.5,1620.53
231571,OC 911 - Janitor,119.25,1097.1
231571,ONEICOUN 120 BASE RD ,445.75,4424.6
231579,OC 911 - Activities,13,165.23
231579,ONEICOUN 120 BASE RD ACTIVITIES,20,264.05
231579,ONEICOUN 120 BASE RD Activities,8,101.68
231581,OC Cornell - Janitor,174.25,1603.1
231581,ONEICOUN 121 SECOND ST,750.25,7343
231589,OC Cornell - Activities,11.25,141.01
231589,ONEICOUN 121 SECOND ST ACTIVITIES,41.75,534.35
231591,OC DPW - Janitor,157,1444.4
231591,ONEICOUN 6000 AIRPORT RD,805.5,7912.5
231599,OC DPW - Activities,11.25,140.76
231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,49.86666667,639.5
231621,OGS 6325 ROUTE 291,47.75,481.45
231621,OGS Marcy Janitor,83.25,765.9
231629,OGS 6325 ROUTE 291 ACTIVITIES,1,10.75
231629,OGS Marcy - Activities,1.5,13.82
231631,OC Courthouse,1235.75,11368.9
231631,ONEICOUN 200 ELIZABETH ST,3875.25,37820.85
231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,367.6,4817.19
231639,Oneida Co Courthouse - Activities,110.75,1437.6
231641,OC Health Dept. 185 Genesee St.,56.25,500.7
231641,OC Health Dept. 285 Genesee St.,72,640.84
231641,ONEICOUN 185 GENESEE ST,465.25,4450.44
231649,OC Health Dept. 185 Genesee St. - Activities,3.75,40.69
231649,OC Health Dept. 285 Genesee St. - Activities,21.25,230.58
231649,ONEICOUN 185 GENESEE ST ACTIVITIES,15,179.34
231651,OC Office Bldg. (Mosley) 800 Park Ave,284,3195.16
231651,ONEICOUN 800 PARK AVE ,732.5,8241.06
231659,OC Office Bldg. (Mosley) 800 Park Ave - Activities,23.5,308.32
231659,ONEICOUN 800 PARK AVE ACTIVITIES,132.75,1741.68
231671,OTB Herkimer (Mohwak Street),229.5,2111.4
231679,OTB Herkimer (Mohawk St.) Activities,11,139.86
231711,OC Office Bldg. 800 Park Ave Utica,2294,20443
231711,ONEICOUN 800 PARK AVE ,9371,91168.35
231719,OC Office Bldg. 800 Park Ave Utica - Activities,147.5,1600.55
231719,ONEICOUN 800 PARK AVE ACTIVITIES,568.25,6914.17
231721,OC Health Dept. Clinic 406 Elizabeth St Utica,273.25,2432.11
231721,ONEICOUN 406 ELIZABETH ST,773.75,7355.05
231729,OC Health Dept Clinic 406 Elizabeth St Utica Activ,16.5,179.05
231729,ONEICOUN 406 ELIZABETH ST ACTIVITIES,43.6,536.27
231731,OC Law Library,291,2589.92
231731,ONEICOUN 235 ELIZABETH ST,1013.5,9679.7
231739,OC Law Library - Activities,14,151.9
231739,ONEICOUN 235 ELIZABETH ST ACTIVITIES,36.5,445.75
231741,OC DWI Department,59.75,532.05
231741,ONEICOUN 200 BASE RD,211,2057.41
231749,OC DWI Department - Activities,7.5,81.4
231749,ONEICOUN 200 BASE RD ACTIVITIES,10.5,128.38
231751,CDROTB 232 MOHAWK ST,122,1202.4
231759,CDROTB 232 MOHAWK ST ACTIVITIES,4,43.6
231821,CITYUTICA 33 ORISKANY ST W,1563.5,16089.02
231821,Utica Court Janitor,997,10259.48
231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,54,660.96
231829,Utica Court - Activities,48,587.52
231841,ONEICOUN 321 MAIN ST,3505.5,33568.25
231841,Union Station,1235.25,10994.08
231849,ONEICOUN 321 MAIN ST ACTIVITIES,165.3,2031.27
231849,Union Station - Activities,105.75,1147.42
231851,DIVMIL&NA 1700 PARKWAY E,294,2966.4
231851,Utica Armory,171,1615.95
231859,DIVMIL&NA 1700 PARKWAY E ACTIVITIES,36,440.91
231859,Utica Armory - Activities,9.5,105.55
232041,CNYDDSO 101 W LIBERTY ST,956,8508.4
232041,ONEICOUN 301 W DOMINICK ST,150,1335
232041,Rome Admin Bldg.,380.5,3386.45
232041,Rome Administration Bldg.,38.5,342.65
232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,67.06666667,731.03
232049,ONEICOUN 301 W DOMINICK ST ACTIVITIES,13,141.7
232049,Rome Admin Bldg. - Activities,24,261.6
232051,Rome Admin. Bldg. S&W,32,284.8
232059,Rome Admin Bldg. S&W Activities,6.5,70.85
232076,Bridge Street S&W Labs Rate,72.5,740.24
232081,Bridge Street Day Hab,560,4984
232089,Bridge Street Day Hab - Activities,36,392.4
232120,Delta Acres,688.5,6334.2
232126,Delta Acres S&W Labs Rate,124,1266.04
232129,Delta Acres Activities,54.8,696.65
232140,Griffis International Airport,230.5,2120.6
232140,ONEICOUN 592 HANGAR RD,184,1692.8
232149,Griffis International Airport - Activities,19.5,252.72
232149,ONEICOUN 592 HANGAR RD ACTIVITIES,6.466666667,83.81
232150,ONEICOUN 592 HANGAR RD,646.5,5753.85
232159,ONEICOUN 592 HANGAR RD ACTIVITIES,25,272.5
232222,CNYDDSO 8163 GORE RD,134.5,1401.76
232222,Gore Road Janitor,320.5,2948.6
232226,Gore Road S&W Labs Rate,26,265.46
232229,CNYDDSO 8163 GORE RD ACTIVITIES,15.25,199.2
232229,Gore Road - Activities,24.91666667,229.55
232561,OC Office Building - Janitor,125,1150
232561,OC Office Building 301 W. Dominick St - Janitor,102,938.4
232561,ONEICOUN 301 W DOMINICK ST,875.5,8559.8
232561,ONEICOUN 301 WDOMINICK ST,49.75,457.7
232566,OC Office Bldg S&W Labs Rate,52,530.92
232566,ONEICOUN 301 W DOMINICK ST,44,438.9
232569,OC Office Building  301 W Dominick St- Activities,12,155.52
232569,OC Office Building - Activities,16,214.96
232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,56.5,730.52
232569,ONEICOUN 301 WDOMINICK ST ACTIVITIES,6.5,86.62
232571,OC Social Services 300 W. Dominick St.Rome,244.5,2176.05
232571,OC Social Services Bldg. - Rome,37.5,333.75
232571,ONEICOUN 300 W DOMINICK ST,1054,10243.73
232571,ONEICOUN 300 WDOMINICK ST,55.75,496.45
232579,OC Social Services 300 W. Domin- Rome - Activities,28,303.85
232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,73,850.6
232579,ONEICOUN 300 WDOMINICK ST ACTIVITIES,8,86.81
232581,OC Social Services 300 W. Dominick St Rome S&W,104,936
232589,OC S. Services S&W 300 W Dominick St Rome Activiti,8,87.6
232611,OGS 6196 LAMPHEAR RD,11,114.4
232611,OGS Mohawk Janitor,21.5,197.8
232619,OGS 6196 LAMPHEAR RD ACTIVITIES,0.5,5.38
232619,OGS Mohawk - Activities,0.5,4.61
232671,O'Shea Janitor F/T,711,6541.2
232676,O'Shea S&W Labs Rate,106.75,1089.94
232679,O'Shea - Activities,45,571.95
232721,OC Court House Rome Janitor,150.5,1339.45
232721,ONEICOUN 302 N JAMES ST,618.5,5926.98
232726,OC  Court House  Rome S&W Labs Rate,12,122.52
232729,OC   Court House Rome - Activities,12,130.2
232729,ONEICOUN 302 N JAMES ST ACTIVITIES,35.5,418.5
232871,Walsh Janitor F/T,2349.5,21615.4
232872,Walsh Janitor P/T,1735,15962
232876,Walsh S&W Labs Rate,78.5,801.49
232879,Walsh - Activities,473.85,5176.01
232932,Wilson Janitor P/T,730,6716
232936,Wilson S&W Labs Rate,75,765.75
232939,Wilson - Activities,61.5,602.06
233130,CENTRO 200 CORTLAND AVE,2434.5,22397.4
233130,CNY Centro - Syracuse - Janitor,1017,9356.4
233139,CENTRO 200 CORTLAND AVE ACTIVITIES,102.2166667,1299.2
233139,CNY Centro - Syracuse - Activities,64.35,817.92
233140,NYSFAIR 581 STATE FAIR BLVD RUBBISH,9898.066667,91066.58
233142,NYSFAIR 581 STATE FAIR BLVD REST ROOMS,7358.55,69173.38
233144,NYSFAIR 581 STATE FAIR BLVD RUBBISH SUPV,350.4166667,4905.94
233149,NYSFAIR 581 STATE FAIR BLVD ACTIVITIES,744.0333333,6919.79
233160,Hillbrook Detention Center,409,3496.95
233160,ONONCOUN 4949 VELASKO RD,994.5,8503.03
233169,Hillbrook Detention Center - Activities,35,364
233169,ONONCOUN 4949 VELASKO RD ACTIVITIES,27.51666667,286.18
233170,SUNYOSWE 200 N ONDAGA CIRCL,7354.25,70308.78
233179,SUNYOSWE 200 N ONDAGA CIRCL ACTIVITIES,383,4678.86
233180,CENTRO 131 ALLIANCE BANK,3109.5,27674.55
233180,William T. Walsh Regional Transportation Ctr.,1232.75,10971.48
233189,CENTRO 131 ALLIANCE BANK ACTIVITIES,150.75,1552.73
233189,William T. Walsh Regional Trans. Ctr. Activities,52.5,540.75
233190,ONONCOUN 55 S STATE ST,1363,12130.7
233190,Onondaga County Justice Center,985,8766.5
233199,ONONCOUN 55 S STATE ST ACTIVITIES,68.75,677.38
233199,Onondaga County Justice Center - Activities,58.81666667,599.11
234100,Armory Grounds,243,2967.24
234100,DIVMIL&NA 1700 PARKWAY E,518,6521.77
234110,CNY DDSO,98,1196.69
234110,CNYDDSO VARIOUS SITES,874.25,11994.71
234119,CNYDDSO VARIOUS SITES ACTIVITIES,55.75,764.89
234130,ONEICOUN 321 MAIN ST,218.25,2592.75
234139,ONEICOUN 321 MAIN ST ACTIVITIES,3.75,50.03
234160,ONEICOUN 301 W DOMINICK ST,61.25,777.54
234160,ONEICOUN 321 MAIN ST ,23.5,322.42
234169,ONEICOUN 301 W DOMINICK ST ACTIVITIES,1.25,16.68
234170,ONEICOUN 800 PARK AVE,86.25,1022.83
234179,ONEICOUN 800 PARK AVE ACTIVITIES,1,13.34
234180,ONEICOUN 1101 FLOYD AVE,23,272.79
234189,ONEICOUN 1101 FLOYD AVE ACTIVITIES,4,53.36
234190,DIVMIL&NA 6900 THOMPSON RD,228.75,2629.22
234199,DIVMIL&NA 6900 THOMPSON RD ACTIVITIES,2,25.94
234200,ONEICOUN 200 ELIZABETH ST,83.25,987.26
234210,CNYDDSO 205 PEXTON ST,108.5,1286.65
234219,CNYDDSO 205 PEXTON ST ACTIVITIES,1.25,16.68
234220,CNYDDSO 4647 VERONA ST,76.5,907.14
234230,CNYDDSO 5121 STATE RT 5,42,498.09
234239,CNYDDSO 5121 STATE RT 5 ACTIVITIES,0.5,6.66
234240,CNYDDSO 5635 STATE RT 31,62,735.29
234249,CNYDDSO 5635 STATE RT 31 ACTIVITIES,1,13.34
234250,DIVMIL&NA BLACK RIVER BLVD,16,189.79
235100,Armory Snow Removal,226.75,2799.44
235109,Armory Snow Removal Activities,8.75,90.39
237110,NYS DOT KIRKWOOD REST AREA RT. 81,1570.5,16385.1
237119,NYS DOT KIRKWOOD REST AREA RT. 81 ACTIVITIES,100,1493
237120,NYS DOT 545 OLD FRONT ST BING,16,166.4
237130,NYS DOT 97 BARLOW RD BING,6.5,67.6
330010,MAINPLUS 2260 DWYER AVE,371,2689.84
330019,MAINPLUS 2260 DWYER AVE ACTIVITIES,90,652.5
330020,HTC 2260 DWYER AVE,38.5,279.14
330029,HTC 2260 DWYER AVE ACTIVITIES,8,58
331050,Fiserv,265.75,1927.8
331050,MARSDEN 8379 SENECA TRN PK,390.5,3062.96
331059,Fiserv - Activities,28,203.12
331059,MARSDEN 8379 SENECA TRN PK ACTIVITIES,22.85,181.06
331060,GILROYKG 5 ELLINWOOD CT,144.5,1165.19
331060,Gilroy Kernan Gilroy,708.25,5950.99
331069,GILROYKG 5 ELLINWOOD CT ACTIVITIES,9.25,76.71
331069,Gilroy - Activities,45.5,366.31
331070,HERKCCC 100 RESERVOIR RD,4496.6,35838.75
331079,HERKCCC 100 RESERVOIR RD ACTIVITIES,38,312
331080,HUMMELS 25 CANAL ST,89.25,704.94
331080,Hummels,143.25,1131.95
331089,HUMMELS 25 CANAL ST ACTIVITIES,6.5,49.21
331089,Hummels - Activities,9.75,79.01
331110,NATCTMIS 930 YORK ST,61,477.26
331110,Natl Center Missing Children,42,304.58
331119,NATCTMIS 930 YORK ST ACTIVITIES,2,16.25
331119,Natl Center MC - Activities,3,21.75
331150,CDROTB 731 BLEECKER ST,62,594.82
331150,OTB Bleecker,148,1363.08
331159,CDROTB 731 BLEECKER ST ACTIVITIES,6,55.26
331159,OTB Bleecker - Activities,1,9.21
331160,CDROTB 16 MAIN ST,101,1100.9
331160,OTB Cleats,151,1390.71
331169,CDROTB 16 MAIN ST ACTIVITIES,7,76.3
331169,OTB Cleats - Activities,1,9.21
331170,CDROTB 1899 GENESEE ST,115,1253.5
331170,OTB Jerzees,151,1390.71
331179,CDROTB 1899 GENESEE ST ACTIVITIES,7,76.3
331179,OTB Jerzees - Activities,1,9.21
331180,M & T Bank,5251.25,42454.87
331189,M&T Bank - Activities,341.35,2774.25
331190,RESCMISS 212 RUTGER ST,518,4246.82
331190,Rescue Mission,363.25,2855.24
331199,RESCMISS 212 RUTGER ST ACTIVITIES,27.25,227.3
331199,Rescue Mission - Activities,25.55,200.84
331200,SLOCUM 1729 BURRSTONE RD,1797.5,14739
331200,Slocum Dickson-Utica,6981.5,55913.51
331209,SLOCUM 1729 BURRSTONE RD ACTIVITIES,74.91666667,611.34
331209,Slocum Dickson-Utica  Activities,513.6666667,4081.12
331230,UCP Hatfield,929.5,7809.25
331230,UCPHAT 9440 BUTLER RD,272.5,2327.75
331239,UCP Hatfield - Activities,41.25,345.25
331239,UCPHAT 9440 BUTLER RD ACTIVITIES,12,108
331270,Fused Corporation,23.5,211.5
331279,Fused Corporation - Activities,2.5,22.5
331300,Cornel Associates LLC @ 258 Genesee St.,2353,21964
331309,Cornel Associates LLC @ 258 Genesee St. Activities,158.5,1455.5
331310,SLOCUM 55 CENTRAL PLAZA ,347.25,3008.82
331310,Slocum Dickson-Ilion,508.25,4325.49
331319,SLOCUM 55 CENTRAL PLAZA ACTIVITIES,20.75,175.67
331319,Slocum Dickson-Ilion Activities,23.75,204.81
331350,Our Savior Lutheran Church,347,2515.75
331380,Mele & Co.,147,1323
331390,McPike (One Time Job),64,785.33
331400,FAXSTLUK 7980 RT 12,242.5,2182.5
331400,Faxton-st. Luke's Healthcare Barneveld,885.5,7969.5
331409,FAXSTLUK 7980 RT 12 ACTIVITIES,6,54
331409,Faxton-St. Luke's Healthcare Barneveld Activities,16,144
331410,FAXSTLUK 13460 STATE RT 12,81.5,733.5
331410,Faxton-St. Luke's Healthcare Boonville,406.75,3660.75
331419,FAXSTLUK 13460 STATE RT 12 ACTIVITIES,3,27
331419,Faxton-St. Luke's Healthcare Boonville Activities,16.25,146.25
331420,FAXSTLUK 4301 MIDDLE SET,131,1127.25
331420,Faxton-St. Luke's Healthcare Middle Settlement Rd,409,3366.75
331429,FAXSTLUK 4301 MIDDLE SET ACTIVITIES,3.5,32
331429,Faxton-St. Luke's Healthcare Middle Settlement Act,22.5,195.75
331430,FAXSTLUK 35 RIVERSIDE DR,109,981
331430,Faxton-St. Luke's Healthcare Riverside Drive,299.75,2697.75
331439,FAXSTLUK 35 RIVERSIDE DR ACTIVITIES,10,90
331439,Faxton-St. Luke's Healthcare Riverside Dr. Activie,14,126
331440,FAXSTLUK 3946 ONEIDA ST,116.5,1048.5
331440,Faxton-St. Luke's Healthcare Washington Mills,488,4392
331449,FAXSTLUK 3946 ONEIDA ST ACTIVITIES,16,144
331449,Faxton-St. Luke's Healthcare Washington Mills Act.,24.25,218.25
331450,FAXSTLUK 358 MADISON AVE,95.25,857.25
331450,Faxton-St. Luke's Healthcare Waterville,337,3033
331459,FAXSTLUK 358 MADISON AVE ACTIVITIES,2.25,20.25
331459,Faxton-St. Luke's Healthcare Waterville Activities,11.25,101.25
331460,FAXSTLUK 37 MAIN ST,125.5,1129.5
331460,Faxton-St. Luke's Healthcare Whitesboro,421,3789
331469,FAXSTLUK 37 MAIN ST ACTIVITIES,11,99
331469,Faxton-St. Luke's Healthcare Whitesboro Activities,24.75,222.75
331480,SLOCUM 1307 CHAMPLIN AVE ,201.75,1624.54
331489,SLOCUM 1307 CHAMPLIN AVE ACTIVITIES,13.75,113.08
331490,GILROYKG 210 CLINTON RD,171,1588
331499,GILROYKG 210 CLINTON RD ACTIVITIES,5.25,50.25
331500,HTC,879,6452.01
331500,HTC 2260 DWYER AVE,1196.25,9202.76
331509,HTC - Activities,102.55,802.15
331509,HTC 2260 DWYER AVE ACTIVITIES,108.5,884.65
331510,HTC 1500 GENESEE ST,183,1467.84
331510,MHC Utica,528,4043.88
331519,HTC 1500 GENESEE ST ACTIVITIES,7,61.75
331519,MHCU - Activities,37.5,302.5
331540,M&TBANK 38 COLLEGE ST,40.75,322.03
331549,M&TBANK 38 COLLEGE ST ACTIVITIES,3.5,27.63
331550,M&T BANK 134 E MAIN ST,213.25,1689.47
331559,M&T BANK 134 E MAIN ST ACTIVITIES,16.5,123.8
331560,M&T BANK 319 N MAIN ST,208.75,1654.07
331569,M&T BANK 319 N MAIN ST ACTIVITIES,12.75,96.6
331570,M&T BANK 150 CENTRAL AVE,200,1582.49
331579,M&T BANK 150 CENTRAL AVE ACTIVITIES,12,91.16
331580,M&TBANK WINDOWS VARIOUS SITES,20.5,184.5
331590,M&TBANK 4767 CONSUMER SQ,115.5,934.8
331599,M&TBANK 4767 CONSUMER SQ ACTIVITIES,3.75,33.39
332030,CNYDDSO One Time IRA's Dewer Rd Rome,4,43.6
332040,Griffiss Utility Services Corp,87,631
332049,Griffiss Utility - Activities,7,50.75
332070,NYSHOME 5900 AIRPORT RD,272,3552.32
332079,NYSHOME 5900 AIRPORT RD ACTIVITIES,8,104.48
332080,Oneida Herk Solid Waste,156,1131
332090,CDROTB 526 ERIE BLVD W,142,1547.8
332090,OTB Legends,175.5,1616.57
332099,CDROTB 526 ERIE BLVD W ACTIVITIES,6,65.4
332099,OTB Legends - Activities,8.5,78.3
332130,CITYROME 301 N JAMES ST,323.5,3398.45
332130,Rome Justice Building,276,2884.22
332139,CITYROME 301 N JAMES ST ACTIVITIES,9,94.05
332139,Rome Justice Building - Activities,10,104.5
332140,ROMEDEAF 401 TURIN ST,7,78.19
332520,MHC Rome,152,1102
332529,MHCR - Activities,6.75,48.96
334100,Commercial Grounds Maintenance,460.25,3673.21
334109,Commercial Grounds - Activities,99.5,796
334120,DRV Grounds FG,48.25,386
334120,DRVGROUND VARIOUS SITES,170,1360
334129,DRVGROUND VARIOUS SITES ACTIVITIES,8.75,70
334140,NATLGRID 5835 SUCCESS DR,19,152
334149,NATLGRID 5835 SUCCESS DR ACTIVITIES,4,32
334150,NATLGRID 441 WOODROW AVE,17,136
334160,NATLGRID 508 UTICA ST,21.5,172
334170,NATLGRID 221 OLD CAMPION RD,114,912
334180,NATLGRID 3 EAST ST,32.5,260
334190,NATLGRID 6559 NYSRTE 167,21.25,170
334200,NATLGRID DITCH 5835 SUCCESS DR SIDE,11.75,94
334210,NATLGRID CULVERT 5835 SUCCESS DR RT. 69 SIDE,4,32
334220,AUSTMOHA 2175 BEECHGROVE,47.75,382
334229,AUSTMOHA 2175 BEECHGROVE ACTIVITIES,3,24
334230,GRANKITC 178 INDUSTRIAL PARK DR,69.75,558
334239,GRANKITC 178 INDUSTRIAL PARK DR ACTIVITIES,7.5,60
334240,NORTSAFE 232 INDUSTRIAL PARK DR,331.25,2650
334249,NORTSAFE 232 INDUSTRIAL PARK DR ACTIVITIES,0.5,4
334250,HUMANTECH 2260 DWYER AVE,339,2712
334259,HUMANTECH 2260 DWYER AVE ACTIVITIES,54.75,438
334260,GWISPETE 1638 BENNETT ST,8.25,66
335100,Maintenance Plus Commercial,50,362.51
335109,Maintenance Plus - Activities,7.5,54.38
335200,Maintenance Plus - HTC,388.25,2814.98
335209,Maintenance Plus -HTC Activities,33,239.27
337010,GATEWAY (CHAMBER) RT 81N KIRKWOOD,4.75,42.75
