JOBNUMBER,JOBDESCRIPTION,HEALTHWELFARE
231731,ONEICOUN 235 ELIZABETH ST,259.35
231741,OC DWI Department,141.58
231741,ONEICOUN 200 BASE RD,43.09
231821,Utica Court Janitor,1657.35
231841,ONEICOUN 321 MAIN ST,860.73
231841,Union Station,2582.36
231849,Union Station - Activities,10.87
231851,Utica Armory,278.88
231859,Utica Armory - Activities,2.78
232041,ONEICOUN 301 W DOMINICK ST,142
232041,Rome Admin Bldg.,761
232041,Rome Administration Bldg.,77
232051,Rome Admin. Bldg. S&W,64
232076,Bridge Street S&W Labs Rate,98.26
232081,Bridge Street Day Hab,364
232120,Delta Acres,811.51
232126,Delta Acres S&W Labs Rate,80.92
232140,Griffis International Airport,866.68
232140,ONEICOUN 592 HANGAR RD,90.24
232150,ONEICOUN 592 HANGAR RD,136
232222,Gore Road Janitor,2.18
232226,Gore Road S&W Labs Rate,52.02
232561,OC Office Building - Janitor,441.05
232561,OC Office Building 301 W. Dominick St - Janitor,358.02
232561,ONEICOUN 301 W DOMINICK ST,213.3
232561,ONEICOUN 301 WDOMINICK ST,174.66
232566,OC Office Bldg S&W Labs Rate,150.28
232571,OC Social Services 300 W. Dominick St.Rome,481.67
232571,OC Social Services Bldg. - Rome,73.2
232571,ONEICOUN 300 W DOMINICK ST,122.43
232571,ONEICOUN 300 WDOMINICK ST,108.79
232581,OC Social Services 300 W. Dominick St Rome S&W,202.8
232611,OGS Mohawk Janitor,0.21
232671,O'Shea Janitor F/T,831.87
232676,O'Shea S&W Labs Rate,5.78
232721,OC Court House Rome Janitor,293.68
232721,ONEICOUN 302 N JAMES ST,79.11
232726,OC  Court House  Rome S&W Labs Rate,34.68
232871,Walsh Janitor F/T,2363.81
232872,Walsh Janitor P/T,17.3
232879,Walsh - Activities,5.93
232932,Wilson Janitor P/T,2.44
232936,Wilson S&W Labs Rate,98.26
233130,CENTRO 200 CORTLAND AVE,542.31
233130,CNY Centro - Syracuse - Janitor,3570.09
233160,Hillbrook Detention Center,756.65
233160,ONONCOUN 4949 VELASKO RD,135.98
233180,CENTRO 131 ALLIANCE BANK,268.8
233180,William T. Walsh Regional Transportation Ctr.,1743.66
233190,Onondaga County Justice Center,1484
234100,Armory Grounds,227.47
234110,CNY DDSO,32.06
235100,Armory Snow Removal,289.73
331050,Fiserv,1.82
331060,Gilroy Kernan Gilroy,10.83
331180,M & T Bank,103.94
331190,Rescue Mission,37.36
331200,Slocum Dickson-Utica,48.29
331230,UCP Hatfield,82
331300,Cornel Associates LLC @ 258 Genesee St.,47
331310,Slocum Dickson-Ilion,75.91
331319,Slocum Dickson-Ilion Activities,6.39
331420,Faxton-St. Luke's Healthcare Middle Settlement Rd,35.5
331430,Faxton-St. Luke's Healthcare Riverside Drive,21.38
331440,Faxton-St. Luke's Healthcare Washington Mills,52.88
331449,Faxton-St. Luke's Healthcare Washington Mills Act.,6.75
331460,Faxton-St. Luke's Healthcare Whitesboro,43.88
332130,Rome Justice Building,31.37
334100,Commercial Grounds Maintenance,86
334109,Commercial Grounds - Activities,4
335100,Maintenance Plus Commercial,14.5
335200,Maintenance Plus - HTC,52.57
