JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
231539,Marcy Day Treatment - Activities,18,197.40
231541,McPike Janitor,1087.5,10005.00
231549,McPike - Actvities,124.5,1582.40
231571,OC 911 - Janitor,119.25,1097.10
231571,ONEICOUN 120 BASE RD ,37.25,342.70
231579,OC 911 - Activities,13,165.23
231579,ONEICOUN 120 BASE RD Activities,4,50.84
231581,OC Cornell - Janitor,174.25,1603.10
231581,ONEICOUN 121 SECOND ST,87,800.40
231589,OC Cornell - Activities,11.25,141.01
231589,ONEICOUN 121 SECOND ST ACTIVITIES,7.5,94.84
231591,OC DPW - Janitor,157,1444.40
231591,ONEICOUN 6000 AIRPORT RD,85,782.00
231599,OC DPW - Activities,11.25,140.76
231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,13,164.75
231621,OGS Marcy Janitor,32.25,296.70
231629,OGS Marcy - Activities,1.5,13.82
231631,OC Courthouse,1235.75,11368.90
231631,ONEICOUN 200 ELIZABETH ST,526.5,4843.80
231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,21.75,282.33
231639,Oneida Co Courthouse - Activities,110.75,1437.60
231641,OC Health Dept. 185 Genesee St.,56.25,500.70
231641,OC Health Dept. 285 Genesee St.,72,640.84
231641,ONEICOUN 185 GENESEE ST,56.25,500.70
231649,OC Health Dept. 185 Genesee St. - Activities,3.75,40.69
231649,OC Health Dept. 285 Genesee St. - Activities,21.25,230.58
231651,OC Office Bldg. (Mosley) 800 Park Ave,284,3195.16
231651,ONEICOUN 800 PARK AVE ,142.5,1603.22
231659,OC Office Bldg. (Mosley) 800 Park Ave - Activities,23.5,308.32
231671,OTB Herkimer (Mohwak Street),115,1058.00
231679,OTB Herkimer (Mohawk St.) Activities,7,89.00
231711,OC Office Bldg. 800 Park Ave Utica,2294,20443.00
231711,ONEICOUN 800 PARK AVE ,1099,9948.30
231719,OC Office Bldg. 800 Park Ave Utica - Activities,147.5,1600.55
231721,OC Health Dept. Clinic 406 Elizabeth St Utica,273.25,2432.11
231721,ONEICOUN 406 ELIZABETH ST,118.75,1056.97
231729,OC Health Dept Clinic 406 Elizabeth St Utica Activ,16.5,179.05
231731,OC Law Library,291,2589.92
231731,ONEICOUN 235 ELIZABETH ST,133,1183.70
231739,OC Law Library - Activities,14,151.90
231741,OC DWI Department,59.75,532.05
231741,ONEICOUN 200 BASE RD,18,160.21
231749,OC DWI Department - Activities,7.5,81.40
231821,Utica Court Janitor,844.5,8690.18
231829,Utica Court - Activities,42,514.08
231841,ONEICOUN 321 MAIN ST,441.25,3927.32
231841,Union Station,1235.25,10994.08
231849,ONEICOUN 321 MAIN ST ACTIVITIES,7.5,81.38
231849,Union Station - Activities,105.75,1147.42
231851,Utica Armory,168,1587.60
231859,Utica Armory - Activities,9.5,105.55
232041,ONEICOUN 301 W DOMINICK ST,71,631.90
232041,Rome Admin Bldg.,380.5,3386.45
232041,Rome Administration Bldg.,38.5,342.65
232049,ONEICOUN 301 W DOMINICK ST ACTIVITIES,4,43.60
232049,Rome Admin Bldg. - Activities,24,261.60
232051,Rome Admin. Bldg. S&W,32,284.80
232059,Rome Admin Bldg. S&W Activities,6.5,70.85
232076,Bridge Street S&W Labs Rate,34,347.14
232081,Bridge Street Day Hab,182,1619.80
232089,Bridge Street Day Hab - Activities,18,196.20
232120,Delta Acres,231,2125.20
232126,Delta Acres S&W Labs Rate,28,285.88
232129,Delta Acres Activities,25.55,324.82
232140,Griffis International Airport,230.5,2120.60
232140,ONEICOUN 592 HANGAR RD,24,220.80
232149,Griffis International Airport - Activities,19.5,252.72
232149,ONEICOUN 592 HANGAR RD ACTIVITIES,2.466666667,31.97
232150,ONEICOUN 592 HANGAR RD,68,605.20
232159,ONEICOUN 592 HANGAR RD ACTIVITIES,1,10.90
232222,Gore Road Janitor,169.5,1559.40
232226,Gore Road S&W Labs Rate,18,183.78
232229,Gore Road - Activities,22.41666667,206.51
232561,OC Office Building - Janitor,125,1150.00
232561,OC Office Building 301 W. Dominick St - Janitor,102,938.40
232561,ONEICOUN 301 W DOMINICK ST,60.75,558.90
232561,ONEICOUN 301 WDOMINICK ST,49.75,457.70
232566,OC Office Bldg S&W Labs Rate,52,530.92
232569,OC Office Building  301 W Dominick St- Activities,12,155.52
232569,OC Office Building - Activities,16,214.96
232569,ONEICOUN 301 WDOMINICK ST ACTIVITIES,6.5,86.62
232571,OC Social Services 300 W. Dominick St.Rome,244.5,2176.05
232571,OC Social Services Bldg. - Rome,37.5,333.75
232571,ONEICOUN 300 W DOMINICK ST,62.75,558.81
232571,ONEICOUN 300 WDOMINICK ST,55.75,496.45
232579,OC Social Services 300 W. Domin- Rome - Activities,28,303.85
232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,0.5,5.43
232579,ONEICOUN 300 WDOMINICK ST ACTIVITIES,8,86.81
232581,OC Social Services 300 W. Dominick St Rome S&W,104,936.00
232589,OC S. Services S&W 300 W Dominick St Rome Activiti,8,87.60
232611,OGS Mohawk Janitor,10.5,96.60
232619,OGS Mohawk - Activities,0.5,4.61
232671,O'Shea Janitor F/T,237,2180.40
232676,O'Shea S&W Labs Rate,2,20.42
232679,O'Shea - Activities,15,190.65
232721,OC Court House Rome Janitor,150.5,1339.45
232721,ONEICOUN 302 N JAMES ST,40.5,360.45
232726,OC  Court House  Rome S&W Labs Rate,12,122.52
232729,OC   Court House Rome - Activities,12,130.20
232871,Walsh Janitor F/T,892,8206.40
232872,Walsh Janitor P/T,570,5244.00
232879,Walsh - Activities,104.5,1164.42
232932,Wilson Janitor P/T,243,2235.60
232936,Wilson S&W Labs Rate,34,347.14
232939,Wilson - Activities,27,256.59
233130,CENTRO 200 CORTLAND AVE,154.5,1421.40
233130,CNY Centro - Syracuse - Janitor,1017,9356.40
233139,CENTRO 200 CORTLAND AVE ACTIVITIES,2,25.42
233139,CNY Centro - Syracuse - Activities,64.35,817.92
233160,Hillbrook Detention Center,409,3496.95
233160,ONONCOUN 4949 VELASKO RD,73.5,628.43
233169,Hillbrook Detention Center - Activities,35,364.00
233180,CENTRO 131 ALLIANCE BANK,192,1708.80
233180,William T. Walsh Regional Transportation Ctr.,1232.75,10971.48
233189,William T. Walsh Regional Trans. Ctr. Activities,52.5,540.75
233190,Onondaga County Justice Center,742,6603.80
233199,Onondaga County Justice Center - Activities,57.31666667,582.76
234100,Armory Grounds,229,2796.27
234110,CNY DDSO,32.75,399.92
235100,Armory Snow Removal,226.75,2799.44
235109,Armory Snow Removal Activities,8.75,90.39
331050,Fiserv,184.25,1336.54
331059,Fiserv - Activities,24,174.10
331060,Gilroy Kernan Gilroy,295.75,2439.91
331069,Gilroy - Activities,19,146.58
331080,Hummels,83,666.15
331089,Hummels - Activities,8,66.32
331110,Natl Center Missing Children,29.5,213.94
331119,Natl Center MC - Activities,2,14.50
331150,OTB Bleecker,86,792.06
331159,OTB Bleecker - Activities,1,9.21
331160,OTB Cleats,90,828.90
331169,OTB Cleats - Activities,1,9.21
331170,OTB Jerzees,90,828.90
331179,OTB Jerzees - Activities,1,9.21
331180,M & T Bank,2135.5,17295.66
331189,M&T Bank - Activities,133.25,1091.12
331190,Rescue Mission,244.25,1919.90
331199,Rescue Mission - Activities,22,172.93
331200,Slocum Dickson-Utica,3011.75,24172.58
331209,Slocum Dickson-Utica  Activities,210,1674.98
331230,UCP Hatfield,477,4038.50
331239,UCP Hatfield - Activities,21,171.75
331270,Fused Corporation,23.5,211.50
331279,Fused Corporation - Activities,2.5,22.50
331300,Cornel Associates LLC @ 258 Genesee St.,821,7647.00
331309,Cornel Associates LLC @ 258 Genesee St. Activities,55,503.00
331310,Slocum Dickson-Ilion,265.5,2274.75
331319,Slocum Dickson-Ilion Activities,12.5,109.14
331350,Our Savior Lutheran Church,111,804.75
331390,McPike (One Time Job),64,785.33
331400,Faxton-st. Luke's Healthcare Barneveld,346.5,3118.50
331409,Faxton-St. Luke's Healthcare Barneveld Activities,11,99.00
331410,Faxton-St. Luke's Healthcare Boonville,187.5,1687.50
331419,Faxton-St. Luke's Healthcare Boonville Activities,10,90.00
331420,Faxton-St. Luke's Healthcare Middle Settlement Rd,184,1512.00
331429,Faxton-St. Luke's Healthcare Middle Settlement Act,9,75.00
331430,Faxton-St. Luke's Healthcare Riverside Drive,137.75,1239.75
331439,Faxton-St. Luke's Healthcare Riverside Dr. Activie,4,36.00
331440,Faxton-St. Luke's Healthcare Washington Mills,225.25,2027.25
331449,Faxton-St. Luke's Healthcare Washington Mills Act.,8,72.00
331450,Faxton-St. Luke's Healthcare Waterville,139,1251.00
331459,Faxton-St. Luke's Healthcare Waterville Activities,4.5,40.50
331460,Faxton-St. Luke's Healthcare Whitesboro,201,1809.00
331469,Faxton-St. Luke's Healthcare Whitesboro Activities,5.5,49.50
331500,HTC,566.5,4135.47
331509,HTC - Activities,92.05,726.02
331510,MHC Utica,187.5,1387.06
331519,MHCU - Activities,14,106.75
332030,CNYDDSO One Time IRA's Dewer Rd Rome,4,43.60
332040,Griffiss Utility Services Corp,18.5,134.31
332080,Oneida Herk Solid Waste,52,377.00
332090,OTB Legends,108,994.81
332099,OTB Legends - Activities,1,9.21
332130,Rome Justice Building,183,1912.37
332139,Rome Justice Building - Activities,10,104.50
332140,ROMEDEAF 401 TURIN ST,7,78.19
332520,MHC Rome,52,377.00
332529,MHCR - Activities,6,43.50
334100,Commercial Grounds Maintenance,231.75,1854.00
334109,Commercial Grounds - Activities,65.25,522.00
335100,Maintenance Plus Commercial,39.75,288.19
335109,Maintenance Plus - Activities,7.5,54.38
335200,Maintenance Plus - HTC,243.75,1767.29
335209,Maintenance Plus -HTC Activities,25.5,184.89
