Qty,PartID,Description,Orders_Number
3,NSX2020,HiTechnic Sensor Multiplexer,704788
1,NCO1038,NXT Color Sensor V2,704789
1,NEO1048,NXT EOPD Sensor,704789
1,NIL1046,NXT IRLink Sensor,704790
1,NIR1032,NXT IR Receiver,704790
1,NSX2020,HiTechnic Sensor Multiplexer,704790
1,NTX1060,NXT Touch Sensor Multiplexer,704790
1,NWS1000,NXT Extended Connector Cable Set,704790
1,NGY1044,NXT Gyro Sensor,704791
1,NCO1038,NXT Color Sensor V2,704792
1,NEO1048,NXT EOPD Sensor,704792
1,NPA1058,HiTechnic Experimenter's Kit A,704792
2,NSK1042,NXT IRSeeker  V2,704792
1,NIR1032,NXT IR Receiver,704793
1,NPA1058,HiTechnic Experimenter's Kit A,704794
1,NSK1042,NXT IRSeeker  V2,704794
1,NPA1058,HiTechnic Experimenter's Kit A,704795
1,NIL1046,NXT IRLink Sensor,704796
2,NAC1040,NXT Accelerometer Sensor,704796
2,NWS1000,NXT Extended Connector Cable Set,704797
1,NPA1058,HiTechnic Experimenter's Kit A,704798
1,NSX2020,HiTechnic Sensor Multiplexer,704798
1,NTX1060,NXT Touch Sensor Multiplexer,704798
1,NWS1000,NXT Extended Connector Cable Set,704798
1,NCO1038,NXT Color Sensor V2,704799
1,NPK1056,NXT Prototyping Sensor Kit,704799
1,NWS1000,NXT Extended Connector Cable Set,704799
2,NAC1040,NXT Accelerometer Sensor,704800
2,NGY1044,NXT Gyro Sensor,704800
2,NGY1044,NXT Gyro Sensor,704801
1,NIL1046,NXT IRLink Sensor,704802
1,NTX1060,NXT Touch Sensor Multiplexer,704802
1,NAC1040,NXT Accelerometer Sensor,704803
1,NCO1038,NXT Color Sensor V2,704803
1,NEO1048,NXT EOPD Sensor,704803
1,NGY1044,NXT Gyro Sensor,704803
1,NMC1034,NXT Magnetic Compass Sensor,704803
1,NPA1058,HiTechnic Experimenter's Kit A,704803
1,NPK1056,NXT Prototyping Sensor Kit,704803
1,NTX1060,NXT Touch Sensor Multiplexer,704803
1,NWS1000,NXT Extended Connector Cable Set,704803
4,NSX2020,HiTechnic Sensor Multiplexer,704803
1,NAC1040,NXT Accelerometer Sensor,704804
1,NGY1044,NXT Gyro Sensor,704804
1,NMC1034,NXT Magnetic Compass Sensor,704804
1,NIL1046,NXT IRLink Sensor,704805
1,NPA1058,HiTechnic Experimenter's Kit A,704806
1,IRB1005,HiTechnic Infrared Electronic Ball,704807
1,NGY1044,NXT Gyro Sensor,704807
1,NSK1042,NXT IRSeeker  V2,704807
1,NMC1034,NXT Magnetic Compass Sensor,704808
1,NEO1048,NXT EOPD Sensor,704809
1,NPA1058,HiTechnic Experimenter's Kit A,704809
2,NAC1040,NXT Accelerometer Sensor,704809
3,NTX1060,NXT Touch Sensor Multiplexer,704809
4,NWS1000,NXT Extended Connector Cable Set,704809
1,NWS1000,NXT Extended Connector Cable Set,704810
1,NAC1040,NXT Accelerometer Sensor,704811
1,NCO1038,NXT Color Sensor V2,704811
1,NGY1044,NXT Gyro Sensor,704811
1,NIL1046,NXT IRLink Sensor,704811
1,NMC1034,NXT Magnetic Compass Sensor,704811
1,NSX2020,HiTechnic Sensor Multiplexer,704811
2,NWS1000,NXT Extended Connector Cable Set,704811
1,NAC1040,NXT Accelerometer Sensor,704812
1,NTX1060,NXT Touch Sensor Multiplexer,704812
1,NWS1000,NXT Extended Connector Cable Set,704812
1,NGY1044,NXT Gyro Sensor,704813
1,NIL1046,NXT IRLink Sensor,704813
1,NAC1040,NXT Accelerometer Sensor,704814
1,NGY1044,NXT Gyro Sensor,704814
1,NMC1034,NXT Magnetic Compass Sensor,704814
1,NPA1058,HiTechnic Experimenter's Kit A,704814
1,NTX1060,NXT Touch Sensor Multiplexer,704814
3,NCO1038,NXT Color Sensor V2,704815
1,IRB1005,HiTechnic Infrared Electronic Ball,704816
2,NSK1042,NXT IRSeeker  V2,704816
1,NAC1040,NXT Accelerometer Sensor,704817
1,NCO1038,NXT Color Sensor V2,704817
1,NPA1058,HiTechnic Experimenter's Kit A,704817
1,NAC1040,NXT Accelerometer Sensor,704818
1,NMC1034,NXT Magnetic Compass Sensor,704818
1,NPA1058,HiTechnic Experimenter's Kit A,704818
1,NSX2020,HiTechnic Sensor Multiplexer,704818
1,NWS1000,NXT Extended Connector Cable Set,704819
1,NMC1034,NXT Magnetic Compass Sensor,704820
1,NSX2020,HiTechnic Sensor Multiplexer,704821
1,NEO1048,NXT EOPD Sensor,704822
1,NPK1056,NXT Prototyping Sensor Kit,704822
1,NCO1038,NXT Color Sensor V2,704823
1,IRB1005,HiTechnic Infrared Electronic Ball,704824
1,NWS1000,NXT Extended Connector Cable Set,704825
1,NCO1038,NXT Color Sensor V2,704826
1,NGY1044,NXT Gyro Sensor,704827
1,NGY1044,NXT Gyro Sensor,704828
1,NMC1034,NXT Magnetic Compass Sensor,704828
1,NSK1042,NXT IRSeeker  V2,704829
1,NSX2020,HiTechnic Sensor Multiplexer,704829
3,NMC1034,NXT Magnetic Compass Sensor,704829
1,NAC1040,NXT Accelerometer Sensor,704830
1,NGY1044,NXT Gyro Sensor,704830
2,NMC1034,NXT Magnetic Compass Sensor,704831
1,NMC1034,NXT Magnetic Compass Sensor,704832
2,NGY1044,NXT Gyro Sensor,704834
1,NAC1040,NXT Accelerometer Sensor,704835
1,NCO1038,NXT Color Sensor V2,704835
4,NTX1060,NXT Touch Sensor Multiplexer,704835
5,NMC1034,NXT Magnetic Compass Sensor,704835
1,NIL1046,NXT IRLink Sensor,704836
1,NPA1058,HiTechnic Experimenter's Kit A,704837
2,NGY1044,NXT Gyro Sensor,704838
1,NCO1038,NXT Color Sensor V2,704839
1,NCO1038,NXT Color Sensor V2,704840
1,NEO1048,NXT EOPD Sensor,704840
1,NPA1058,HiTechnic Experimenter's Kit A,704841
1,NCO1038,NXT Color Sensor V2,704842
2,NAC1040,NXT Accelerometer Sensor,704843
2,NGY1044,NXT Gyro Sensor,704843
2,NMC1034,NXT Magnetic Compass Sensor,704843
1,NPA1058,HiTechnic Experimenter's Kit A,704844
2,NSX2020,HiTechnic Sensor Multiplexer,704845
1,NAC1040,NXT Accelerometer Sensor,704846
3,IRB1005,HiTechnic Infrared Electronic Ball,704846
8,NSK1042,NXT IRSeeker  V2,704846
8,NWS1000,NXT Extended Connector Cable Set,704846
1,NAC1040,NXT Accelerometer Sensor,704847
1,NGY1044,NXT Gyro Sensor,704847
1,NMC1034,NXT Magnetic Compass Sensor,704847
1,NGY1044,NXT Gyro Sensor,704848
1,NAC1040,NXT Accelerometer Sensor,704849
2,NGY1044,NXT Gyro Sensor,704849
1,NCO1038,NXT Color Sensor V2,704850
1,NPA1058,HiTechnic Experimenter's Kit A,704851
1,NIL1046,NXT IRLink Sensor,704852
1,NWS1000,NXT Extended Connector Cable Set,704852
1,NIL1046,NXT IRLink Sensor,704853
2,NPA1058,HiTechnic Experimenter's Kit A,704853
1,NCO1038,NXT Color Sensor V2,704854
1,NGY1044,NXT Gyro Sensor,704854
2,NWS1000,NXT Extended Connector Cable Set,704855
1,NCO1038,NXT Color Sensor V2,704856
1,NPA1058,HiTechnic Experimenter's Kit A,704857
1,NPA1058,HiTechnic Experimenter's Kit A,704858
1,NGY1044,NXT Gyro Sensor,704861
1,NAC1040,NXT Accelerometer Sensor,704862
1,IRB1005,HiTechnic Infrared Electronic Ball,704863
1,NCO1038,NXT Color Sensor V2,704863
2,NSK1042,NXT IRSeeker  V2,704863
1,NGY1044,NXT Gyro Sensor,704864
1,NGY1044,NXT Gyro Sensor,704865
1,NSX2020,HiTechnic Sensor Multiplexer,704866
1,NAC1040,NXT Accelerometer Sensor,704867
1,NGY1044,NXT Gyro Sensor,704867
1,NPA1058,HiTechnic Experimenter's Kit A,704867
1,NPS1055,NXT Solderless Prototype Sensor,704867
1,NSX2020,HiTechnic Sensor Multiplexer,704867
1,NTX1060,NXT Touch Sensor Multiplexer,704867
4,NEO1048,NXT EOPD Sensor,704868
4,NMC1034,NXT Magnetic Compass Sensor,704868
6,NGY1044,NXT Gyro Sensor,704868
1,NAC1040,NXT Accelerometer Sensor,704869
1,NMC1034,NXT Magnetic Compass Sensor,704869
2,NGY1044,NXT Gyro Sensor,704869
1,NGY1044,NXT Gyro Sensor,704870
1,NAC1040,NXT Accelerometer Sensor,704871
1,NGY1044,NXT Gyro Sensor,704871
1,NGY1044,NXT Gyro Sensor,704872
1,NGY1044,NXT Gyro Sensor,704873
1,NAC1040,NXT Accelerometer Sensor,704874
1,NGY1044,NXT Gyro Sensor,704874
1,NGY1044,NXT Gyro Sensor,704875
1,NGY1044,NXT Gyro Sensor,704876
1,NAC1040,NXT Accelerometer Sensor,704877
1,NGY1044,NXT Gyro Sensor,704878
1,NIL1046,NXT IRLink Sensor,704878
1,NGY1044,NXT Gyro Sensor,704879
1,NGY1044,NXT Gyro Sensor,704880
1,NGY1044,NXT Gyro Sensor,704881
1,NGY1044,NXT Gyro Sensor,704882
1,NMC1034,NXT Magnetic Compass Sensor,704883
1,NPA1058,HiTechnic Experimenter's Kit A,704883
2,NPS1055,NXT Solderless Prototype Sensor,704883
4,NWS1000,NXT Extended Connector Cable Set,704883
1,NCO1038,NXT Color Sensor V2,704884
1,NCO1038,NXT Color Sensor V2,704885
1,NIL1046,NXT IRLink Sensor,704885
1,NPA1058,HiTechnic Experimenter's Kit A,704885
1,NAC1040,NXT Accelerometer Sensor,704886
1,NGY1044,NXT Gyro Sensor,704886
1,NGY1044,NXT Gyro Sensor,704887
1,NGY1044,NXT Gyro Sensor,704888
1,NCO1038,NXT Color Sensor V2,704889
1,NMC1034,NXT Magnetic Compass Sensor,704889
1,NIR1032,NXT IR Receiver,704890
1,NGY1044,NXT Gyro Sensor,704891
1,NCO1038,NXT Color Sensor V2,704892
2,NWS1000,NXT Extended Connector Cable Set,704892
1,NAC1040,NXT Accelerometer Sensor,704893
1,NAC1040,NXT Accelerometer Sensor,704894
1,NEO1048,NXT EOPD Sensor,704894
1,NGY1044,NXT Gyro Sensor,704895
1,NWS1000,NXT Extended Connector Cable Set,704895
1,NCO1038,NXT Color Sensor V2,704896
6,NGY1044,NXT Gyro Sensor,704897
1,NAC1040,NXT Accelerometer Sensor,704898
1,NGY1044,NXT Gyro Sensor,704898
4,NCO1038,NXT Color Sensor V2,704899
3,NCO1038,NXT Color Sensor V2,704900
11,NCO1038,NXT Color Sensor V2,704901
1,NCO1038,NXT Color Sensor V2,704902
1,NEO1048,NXT EOPD Sensor,704903
1,NGY1044,NXT Gyro Sensor,704904
1,NGY1044,NXT Gyro Sensor,704905
1,NPS1055,NXT Solderless Prototype Sensor,704905
1,NGY1044,NXT Gyro Sensor,704906
1,NIR1032,NXT IR Receiver,704906
1,NMC1034,NXT Magnetic Compass Sensor,704907
1,NSX2020,HiTechnic Sensor Multiplexer,704907
1,NIR1032,NXT IR Receiver,704908
1,NGY1044,NXT Gyro Sensor,704909
1,NIR1032,NXT IR Receiver,704909
1,NGY1044,NXT Gyro Sensor,704910
1,NIR1032,NXT IR Receiver,704910
1,NAC1040,NXT Accelerometer Sensor,704911
1,NMC1034,NXT Magnetic Compass Sensor,704911
1,NMC1034,NXT Magnetic Compass Sensor,704912
1,NAC1040,NXT Accelerometer Sensor,704913
1,NCO1038,NXT Color Sensor V2,704913
1,NEO1048,NXT EOPD Sensor,704913
1,NGY1044,NXT Gyro Sensor,704913
1,NIR1032,NXT IR Receiver,704913
1,IRB1005,HiTechnic Infrared Electronic Ball,704914
1,NEO1048,NXT EOPD Sensor,704914
1,NIL1046,NXT IRLink Sensor,704914
2,NAC1040,NXT Accelerometer Sensor,704914
2,NSK1042,NXT IRSeeker  V2,704914
3,NIR1032,NXT IR Receiver,704914
1,NAC1040,NXT Accelerometer Sensor,704915
1,NGY1044,NXT Gyro Sensor,704915
1,NIR1032,NXT IR Receiver,704915
1,NGY1044,NXT Gyro Sensor,704916
1,NWS1000,NXT Extended Connector Cable Set,704916
2,NCO1038,NXT Color Sensor V2,704917
2,NSK1042,NXT IRSeeker  V2,704917
1,NAC1040,NXT Accelerometer Sensor,704918
1,NIR1032,NXT IR Receiver,704919
1,NGY1044,NXT Gyro Sensor,704920
2,NSX2020,HiTechnic Sensor Multiplexer,704921
1,NGY1044,NXT Gyro Sensor,704922
1,NIR1032,NXT IR Receiver,704922
1,NMC1034,NXT Magnetic Compass Sensor,704923
1,NGY1044,NXT Gyro Sensor,704924
1,NIR1032,NXT IR Receiver,704924
1,NSX2020,HiTechnic Sensor Multiplexer,704925
1,NSK1042,NXT IRSeeker  V2,704926
1,NAC1040,NXT Accelerometer Sensor,704927
1,NGY1044,NXT Gyro Sensor,704927
1,NIR1032,NXT IR Receiver,704927
1,NTX1060,NXT Touch Sensor Multiplexer,704928
1,NAC1040,NXT Accelerometer Sensor,704929
1,NGY1044,NXT Gyro Sensor,704929
1,IRB1005,HiTechnic Infrared Electronic Ball,704930
1,NMC1034,NXT Magnetic Compass Sensor,704930
1,NSK1042,NXT IRSeeker  V2,704930
1,NAC1040,NXT Accelerometer Sensor,704931
1,NEO1048,NXT EOPD Sensor,704931
1,NMC1034,NXT Magnetic Compass Sensor,704931
1,NWS1000,NXT Extended Connector Cable Set,704931
2,NGY1044,NXT Gyro Sensor,704931
1,NMC1034,NXT Magnetic Compass Sensor,704932
1,NWS1000,NXT Extended Connector Cable Set,704932
1,NIR1032,NXT IR Receiver,704933
1,NAC1040,NXT Accelerometer Sensor,704934
1,NGY1044,NXT Gyro Sensor,704934
1,NIR1032,NXT IR Receiver,704934
1,NGY1044,NXT Gyro Sensor,704935
1,NIR1032,NXT IR Receiver,704935
1,NGY1044,NXT Gyro Sensor,704936
1,NPK1056,NXT Prototyping Sensor Kit,704937
1,NGY1044,NXT Gyro Sensor,704938
1,NIR1032,NXT IR Receiver,704938
1,NIR1032,NXT IR Receiver,704939
1,NWS1000,NXT Extended Connector Cable Set,704939
1,IRB1005,HiTechnic Infrared Electronic Ball,704940
2,NSK1042,NXT IRSeeker  V2,704940
1,NMC1034,NXT Magnetic Compass Sensor,704941
2,NAC1040,NXT Accelerometer Sensor,704941
2,NGY1044,NXT Gyro Sensor,704941
1,NMC1034,NXT Magnetic Compass Sensor,704942
1,NGY1044,NXT Gyro Sensor,704943
1,NGY1044,NXT Gyro Sensor,704944
1,NSK1042,NXT IRSeeker  V2,704944
1,NEO1048,NXT EOPD Sensor,704945
1,NIL1046,NXT IRLink Sensor,704945
1,NWS1000,NXT Extended Connector Cable Set,704945
1,IRB1005,HiTechnic Infrared Electronic Ball,704946
2,NEO1048,NXT EOPD Sensor,704946
2,NSK1042,NXT IRSeeker  V2,704946
1,NGY1044,NXT Gyro Sensor,704947
1,NIR1032,NXT IR Receiver,704947
2,NWS1000,NXT Extended Connector Cable Set,704947
1,NGY1044,NXT Gyro Sensor,704948
1,NIR1032,NXT IR Receiver,704948
1,NMC1034,NXT Magnetic Compass Sensor,704948
1,NPA1058,HiTechnic Experimenter's Kit A,704948
1,NPA1058,HiTechnic Experimenter's Kit A,704949
1,IRB1005,HiTechnic Infrared Electronic Ball,704950
4,NSK1042,NXT IRSeeker  V2,704950
1,NAC1040,NXT Accelerometer Sensor,704951
1,NMC1034,NXT Magnetic Compass Sensor,704951
1,NPS1055,NXT Solderless Prototype Sensor,704951
1,NSX2020,HiTechnic Sensor Multiplexer,704951
1,NAC1040,NXT Accelerometer Sensor,704952
1,NMC1034,NXT Magnetic Compass Sensor,704952
1,NTX1060,NXT Touch Sensor Multiplexer,704952
2,NSK1042,NXT IRSeeker  V2,704952
5,NWS1000,NXT Extended Connector Cable Set,704953
6,NAC1040,NXT Accelerometer Sensor,704954
6,NEO1048,NXT EOPD Sensor,704954
6,NGY1044,NXT Gyro Sensor,704954
1,NAC1040,NXT Accelerometer Sensor,704955
1,NGY1044,NXT Gyro Sensor,704955
1,NIR1032,NXT IR Receiver,704955
1,NWS1000,NXT Extended Connector Cable Set,704955
1,NPA1058,HiTechnic Experimenter's Kit A,704956
2,IRB1005,HiTechnic Infrared Electronic Ball,704956
4,NMC1034,NXT Magnetic Compass Sensor,704956
4,NSK1042,NXT IRSeeker  V2,704956
1,NIL1046,NXT IRLink Sensor,704957
1,NTX1060,NXT Touch Sensor Multiplexer,704957
1,NWS1000,NXT Extended Connector Cable Set,704957
1,NGY1044,NXT Gyro Sensor,704958
1,NAC1040,NXT Accelerometer Sensor,704959
1,NEO1048,NXT EOPD Sensor,704959
1,NMC1034,NXT Magnetic Compass Sensor,704959
1,NSK1042,NXT IRSeeker  V2,704960
1,NAC1040,NXT Accelerometer Sensor,704961
1,NGY1044,NXT Gyro Sensor,704961
1,NIR1032,NXT IR Receiver,704961
1,NWS1000,NXT Extended Connector Cable Set,704961
1,NSK1042,NXT IRSeeker  V2,704962
1,NAC1040,NXT Accelerometer Sensor,704963
1,NGY1044,NXT Gyro Sensor,704963
1,NSK1042,NXT IRSeeker  V2,704963
1,NAC1040,NXT Accelerometer Sensor,704964
1,NMC1034,NXT Magnetic Compass Sensor,704964
1,NWS1000,NXT Extended Connector Cable Set,704964
1,NPA1058,HiTechnic Experimenter's Kit A,704965
1,IRB1005,HiTechnic Infrared Electronic Ball,704966
1,NSK1042,NXT IRSeeker  V2,704966
1,NGY1044,NXT Gyro Sensor,704967
1,NIR1032,NXT IR Receiver,704967
2,NSX2020,HiTechnic Sensor Multiplexer,704968
5,NMC1034,NXT Magnetic Compass Sensor,704968
13,NPA1058,HiTechnic Experimenter's Kit A,704969
3,NWS1000,NXT Extended Connector Cable Set,704970
10,NSK1042,NXT IRSeeker  V2,704971
1,NGY1044,NXT Gyro Sensor,704972
1,IRB1005,HiTechnic Infrared Electronic Ball,704973
1,NGY1044,NXT Gyro Sensor,704973
1,NIR1032,NXT IR Receiver,704973
1,NSK1042,NXT IRSeeker  V2,704973
1,NAC1040,NXT Accelerometer Sensor,704974
1,NGY1044,NXT Gyro Sensor,704974
1,NIR1032,NXT IR Receiver,704974
2,NWS1000,NXT Extended Connector Cable Set,704974
1,NPA1058,HiTechnic Experimenter's Kit A,704975
3,IRB1005,HiTechnic Infrared Electronic Ball,704976
5,NCO1038,NXT Color Sensor V2,704976
6,NSK1042,NXT IRSeeker  V2,704976
6,NSX2020,HiTechnic Sensor Multiplexer,704976
9,NGY1044,NXT Gyro Sensor,704976
9,NMC1034,NXT Magnetic Compass Sensor,704976
9,NWS1000,NXT Extended Connector Cable Set,704976
7,NAC1040,NXT Accelerometer Sensor,704977
7,NMC1034,NXT Magnetic Compass Sensor,704977
7,NSX2020,HiTechnic Sensor Multiplexer,704977
7,NWS1000,NXT Extended Connector Cable Set,704977
14,NSK1042,NXT IRSeeker  V2,704977
1,NGY1044,NXT Gyro Sensor,704978
1,NEO1048,NXT EOPD Sensor,704979
1,NSK1042,NXT IRSeeker  V2,704979
1,IRB1005,HiTechnic Infrared Electronic Ball,704980
1,NAC1040,NXT Accelerometer Sensor,704980
1,NEO1048,NXT EOPD Sensor,704980
1,NGY1044,NXT Gyro Sensor,704980
1,NIR1032,NXT IR Receiver,704980
1,NSK1042,NXT IRSeeker  V2,704980
1,NWS1000,NXT Extended Connector Cable Set,704980
1,NAC1040,NXT Accelerometer Sensor,704981
1,NGY1044,NXT Gyro Sensor,704981
1,NMC1034,NXT Magnetic Compass Sensor,704981
1,NSK1042,NXT IRSeeker  V2,704981
3,NSX2020,HiTechnic Sensor Multiplexer,704981
1,NAC1040,NXT Accelerometer Sensor,704982
1,NGY1044,NXT Gyro Sensor,704982
2,NWS1000,NXT Extended Connector Cable Set,704982
2,NGY1044,NXT Gyro Sensor,704983
2,NMC1034,NXT Magnetic Compass Sensor,704983
1,NTX1060,NXT Touch Sensor Multiplexer,704984
1,NIL1046,NXT IRLink Sensor,704985
1,NAC1040,NXT Accelerometer Sensor,704986
1,NGY1044,NXT Gyro Sensor,704986
1,NPS1055,NXT Solderless Prototype Sensor,704986
1,NSX2020,HiTechnic Sensor Multiplexer,704986
1,NWS1000,NXT Extended Connector Cable Set,704986
1,NAC1040,NXT Accelerometer Sensor,704987
1,NEO1048,NXT EOPD Sensor,704987
1,NGY1044,NXT Gyro Sensor,704987
1,NIR1032,NXT IR Receiver,704987
1,NWS1000,NXT Extended Connector Cable Set,704987
4,NCO1038,NXT Color Sensor V2,704988
1,NIR1032,NXT IR Receiver,704989
1,NSX2020,HiTechnic Sensor Multiplexer,704989
1,NTX1060,NXT Touch Sensor Multiplexer,704989
2,NIL1046,NXT IRLink Sensor,704989
2,NPA1058,HiTechnic Experimenter's Kit A,704989
2,NWS1000,NXT Extended Connector Cable Set,704989
3,NAC1040,NXT Accelerometer Sensor,704989
3,NMC1034,NXT Magnetic Compass Sensor,704989
1,IRB1005,HiTechnic Infrared Electronic Ball,704990
1,NAC1040,NXT Accelerometer Sensor,704990
1,NEO1048,NXT EOPD Sensor,704990
1,NPA1058,HiTechnic Experimenter's Kit A,704990
1,NPS1055,NXT Solderless Prototype Sensor,704990
1,NSK1042,NXT IRSeeker  V2,704990
1,NSX2020,HiTechnic Sensor Multiplexer,704990
1,NWS1000,NXT Extended Connector Cable Set,704990
1,NCO1038,NXT Color Sensor V2,704991
6,NWS1000,NXT Extended Connector Cable Set,704992
2,NCO1038,NXT Color Sensor V2,704993
1,NAC1040,NXT Accelerometer Sensor,704994
1,NGY1044,NXT Gyro Sensor,704994
2,NIR1032,NXT IR Receiver,704994
1,NAC1040,NXT Accelerometer Sensor,704995
1,NCO1038,NXT Color Sensor V2,704995
1,NGY1044,NXT Gyro Sensor,704995
1,NIR1032,NXT IR Receiver,704995
1,NMC1034,NXT Magnetic Compass Sensor,704995
1,NEO1048,NXT EOPD Sensor,704996
1,NIL1046,NXT IRLink Sensor,704997
1,NSX2020,HiTechnic Sensor Multiplexer,704997
3,NWS1000,NXT Extended Connector Cable Set,704997
1,NGY1044,NXT Gyro Sensor,704998
32,NWS1000,NXT Extended Connector Cable Set,704999
2,NCO1038,NXT Color Sensor V2,705000
2,NEO1048,NXT EOPD Sensor,705000
2,NGY1044,NXT Gyro Sensor,705000
3,NAC1040,NXT Accelerometer Sensor,705000
3,NMC1034,NXT Magnetic Compass Sensor,705000
3,NSK1042,NXT IRSeeker  V2,705000
4,NTX1060,NXT Touch Sensor Multiplexer,705000
1,NIR1032,NXT IR Receiver,705001
1,NGY1044,NXT Gyro Sensor,705002
1,NIR1032,NXT IR Receiver,705002
1,NSX2020,HiTechnic Sensor Multiplexer,705002
1,NGY1044,NXT Gyro Sensor,705003
1,IRB1005,HiTechnic Infrared Electronic Ball,705004
1,NMC1034,NXT Magnetic Compass Sensor,705004
1,NSK1042,NXT IRSeeker  V2,705004
1,NGY1044,NXT Gyro Sensor,705005
1,NIR1032,NXT IR Receiver,705005
1,NPA1058,HiTechnic Experimenter's Kit A,705005
1,NWS1000,NXT Extended Connector Cable Set,705005
1,NCO1038,NXT Color Sensor V2,705006
1,NAC1040,NXT Accelerometer Sensor,705007
1,NGY1044,NXT Gyro Sensor,705007
1,NAC1040,NXT Accelerometer Sensor,705008
1,NGY1044,NXT Gyro Sensor,705008
1,NIR1032,NXT IR Receiver,705008
1,NAC1040,NXT Accelerometer Sensor,705009
1,NSK1042,NXT IRSeeker  V2,705009
1,NIL1046,NXT IRLink Sensor,705010
1,NSX2020,HiTechnic Sensor Multiplexer,705010
1,NTX1060,NXT Touch Sensor Multiplexer,705010
1,NWS1000,NXT Extended Connector Cable Set,705010
1,NAC1040,NXT Accelerometer Sensor,705011
1,NCO1038,NXT Color Sensor V2,705011
1,NGY1044,NXT Gyro Sensor,705011
1,NAC1040,NXT Accelerometer Sensor,705012
1,NGY1044,NXT Gyro Sensor,705013
1,NIR1032,NXT IR Receiver,705013
1,NAC1040,NXT Accelerometer Sensor,705014
1,NCO1038,NXT Color Sensor V2,705014
1,NEO1048,NXT EOPD Sensor,705014
1,NPA1058,HiTechnic Experimenter's Kit A,705014
1,NSX2020,HiTechnic Sensor Multiplexer,705014
2,NWS1000,NXT Extended Connector Cable Set,705014
1,NCO1038,NXT Color Sensor V2,705015
1,NIR1032,NXT IR Receiver,705016
1,IRB1005,HiTechnic Infrared Electronic Ball,705017
1,NGY1044,NXT Gyro Sensor,705017
1,NIL1046,NXT IRLink Sensor,705017
1,NIR1032,NXT IR Receiver,705017
1,NWS1000,NXT Extended Connector Cable Set,705017
2,NCO1038,NXT Color Sensor V2,705017
2,NSX2020,HiTechnic Sensor Multiplexer,705017
1,NGY1044,NXT Gyro Sensor,705018
1,IRB1005,HiTechnic Infrared Electronic Ball,705019
1,NSK1042,NXT IRSeeker  V2,705019
2,NAC1040,NXT Accelerometer Sensor,705019
2,NGY1044,NXT Gyro Sensor,705019
1,NIL1046,NXT IRLink Sensor,705020
1,NPA1058,HiTechnic Experimenter's Kit A,705020
1,NIL1046,NXT IRLink Sensor,705021
2,NAC1040,NXT Accelerometer Sensor,705021
2,NSK1042,NXT IRSeeker  V2,705021
2,NWS1000,NXT Extended Connector Cable Set,705021
1,IRB1005,HiTechnic Infrared Electronic Ball,705022
1,NEO1048,NXT EOPD Sensor,705022
1,NPA1058,HiTechnic Experimenter's Kit A,705022
1,NSX2020,HiTechnic Sensor Multiplexer,705022
1,NIL1046,NXT IRLink Sensor,705023
1,NIR1032,NXT IR Receiver,705023
2,NTX1060,NXT Touch Sensor Multiplexer,705024
1,NAC1040,NXT Accelerometer Sensor,705025
1,NEO1048,NXT EOPD Sensor,705025
1,NGY1044,NXT Gyro Sensor,705025
1,NIR1032,NXT IR Receiver,705025
1,NPS1055,NXT Solderless Prototype Sensor,705026
1,NWS1000,NXT Extended Connector Cable Set,705026
1,NAC1040,NXT Accelerometer Sensor,705027
1,NEO1048,NXT EOPD Sensor,705027
1,NGY1044,NXT Gyro Sensor,705027
1,NMC1034,NXT Magnetic Compass Sensor,705027
1,NAC1040,NXT Accelerometer Sensor,705028
1,NGY1044,NXT Gyro Sensor,705028
1,NEO1048,NXT EOPD Sensor,705029
1,NIL1046,NXT IRLink Sensor,705029
1,NIR1032,NXT IR Receiver,705030
1,NGY1044,NXT Gyro Sensor,705031
1,NIR1032,NXT IR Receiver,705031
1,NAC1040,NXT Accelerometer Sensor,705032
1,NGY1044,NXT Gyro Sensor,705032
1,NIR1032,NXT IR Receiver,705032
1,NMC1034,NXT Magnetic Compass Sensor,705032
1,NWS1000,NXT Extended Connector Cable Set,705033
3,NWS1000,NXT Extended Connector Cable Set,705034
1,NGY1044,NXT Gyro Sensor,705035
1,NIR1032,NXT IR Receiver,705035
1,NSX2020,HiTechnic Sensor Multiplexer,705035
3,NWS1000,NXT Extended Connector Cable Set,705035
1,NGY1044,NXT Gyro Sensor,705036
1,NIR1032,NXT IR Receiver,705036
1,NMC1034,NXT Magnetic Compass Sensor,705037
1,NGY1044,NXT Gyro Sensor,705038
1,NIR1032,NXT IR Receiver,705038
1,NMC1034,NXT Magnetic Compass Sensor,705039
1,NGY1044,NXT Gyro Sensor,705040
1,NAC1040,NXT Accelerometer Sensor,705041
1,NGY1044,NXT Gyro Sensor,705041
1,IRB1005,HiTechnic Infrared Electronic Ball,705042
1,NSK1042,NXT IRSeeker  V2,705042
2,NWS1000,NXT Extended Connector Cable Set,705043
1,NGY1044,NXT Gyro Sensor,705044
1,NIR1032,NXT IR Receiver,705044
1,NGY1044,NXT Gyro Sensor,705045
1,NMC1034,NXT Magnetic Compass Sensor,705046
1,NGY1044,NXT Gyro Sensor,705047
1,NSX2020,HiTechnic Sensor Multiplexer,705048
1,NWS1000,NXT Extended Connector Cable Set,705048
1,NIR1032,NXT IR Receiver,705049
1,NSX2020,HiTechnic Sensor Multiplexer,705049
1,NGY1044,NXT Gyro Sensor,705050
